state,agency,support_type,signed,state_fixed,note
Florida,Burnet County Sheriff's Office,Warrant Service Officer,2019-11-05,Texas,"ICE's archived 287(g) page listed the Texas sheriff's WSO under Florida for three monthly captures (Apr-Jun 2020); every other listing, the Texas JEM before it and the MOA file 287gWSO_BurnetCoTx2019-11-05.pdf are Texas"
Georgia,Albermarle District Jail,Warrant Service Officer,2020-03-19,North Carolina,"ICE's archived 287(g) page listed the North Carolina jail's WSO under Georgia for three monthly captures (Apr-Jun 2020), in the misspelling it used until March 2025; from Jul 2020 the same agreement is under North Carolina (reviewed 2026-09-13)"
