state,agency,field,value,as_of,evidence,note
Massachusetts,Massachusetts State Police,signed,2006-12-13,2006-12-13,https://web.archive.org/web/20080509095204/http://www.ice.gov/pi/news/newsreleases/articles/061213boston.htm,"ICE news release, 13 Dec 2006: Gov. Romney and Assistant Secretary Myers announce the signing of a 287(g) MOA; 30 troopers selected for a five-week course in early 2007"
Massachusetts,Massachusetts State Police,rescinded,2007-01-11,2007-01-11,https://web.archive.org/web/20070113134756/http://www.boston.com/news/local/massachusetts/articles/2007/01/11/governor_to_rescind_romney_immigrant_arrest_agreement/,"Gov. Patrick announced on Thursday 11 Jan 2007, at his first Statehouse news conference, that he was rescinding the MOA (AP via Boston.com, 11 Jan 2007; Boston Globe 12 Jan 2007 'yesterday'; NYT 12 Jan 2007 via FactCheck.org); no troopers were trained and the agency appears on no ICE roster. Not an ICE document"
