"state","agency","agency_short","fiscal_year","fy_start","fy_end","identified","removed","attests_active","source_footnote","latitude","longitude","address","agency_raw","source"
"ARIZONA","AZ Department of Corrections","Ariz. Dept. of Corrections",2009,2008-10-01,2009-09-30,3699,1517,TRUE,FALSE,33.446705,-112.094175,"1601 W Jefferson St, Phoenix, AZ 85007","AZ Department of Corrections","ICE 287(g) identification/removal statistics FY2006-2013 (FOIA)"
"ARIZONA","AZ Department of Corrections","Ariz. Dept. of Corrections",2010,2009-10-01,2010-09-30,3057,593,TRUE,FALSE,33.446705,-112.094175,"1601 W Jefferson St, Phoenix, AZ 85007","AZ Department of Corrections","ICE 287(g) identification/removal statistics FY2006-2013 (FOIA)"
"ARIZONA","AZ Department of Corrections","Ariz. Dept. of Corrections",2011,2010-10-01,2011-09-30,2304,506,TRUE,FALSE,33.446705,-112.094175,"1601 W Jefferson St, Phoenix, AZ 85007","AZ Department of Corrections","ICE 287(g) identification/removal statistics FY2006-2013 (FOIA)"
"ARIZONA","AZ Department of Corrections","Ariz. Dept. of Corrections",2012,2011-10-01,2012-09-30,2024,278,TRUE,FALSE,33.446705,-112.094175,"1601 W Jefferson St, Phoenix, AZ 85007","AZ Department of Corrections","ICE 287(g) identification/removal statistics FY2006-2013 (FOIA)"
"ARIZONA","AZ Department of Corrections","Ariz. Dept. of Corrections",2013,2012-10-01,2013-09-30,1359,906,TRUE,FALSE,33.446705,-112.094175,"1601 W Jefferson St, Phoenix, AZ 85007","AZ Department of Corrections","ICE 287(g) identification/removal statistics FY2006-2013 (FOIA)"
"ARIZONA","AZ Department of Public Safety","Ariz. Dept. of Public Safety",2006,2005-10-01,2006-09-30,,,FALSE,TRUE,33.473913,-112.105336,"2102 W Encanto BLVD, Phoenix, Arizona 85009-2847","AZ Department of Public Safety*","ICE 287(g) identification/removal statistics FY2006-2013 (FOIA)"
"ARIZONA","AZ Department of Public Safety","Ariz. Dept. of Public Safety",2007,2006-10-01,2007-09-30,91,81,TRUE,TRUE,33.473913,-112.105336,"2102 W Encanto BLVD, Phoenix, Arizona 85009-2847","AZ Department of Public Safety*","ICE 287(g) identification/removal statistics FY2006-2013 (FOIA)"
"ARIZONA","AZ Department of Public Safety","Ariz. Dept. of Public Safety",2008,2007-10-01,2008-09-30,77,73,TRUE,TRUE,33.473913,-112.105336,"2102 W Encanto BLVD, Phoenix, Arizona 85009-2847","AZ Department of Public Safety*","ICE 287(g) identification/removal statistics FY2006-2013 (FOIA)"
"ARIZONA","AZ Department of Public Safety","Ariz. Dept. of Public Safety",2009,2008-10-01,2009-09-30,126,105,TRUE,TRUE,33.473913,-112.105336,"2102 W Encanto BLVD, Phoenix, Arizona 85009-2847","AZ Department of Public Safety*","ICE 287(g) identification/removal statistics FY2006-2013 (FOIA)"
"ARIZONA","AZ Department of Public Safety","Ariz. Dept. of Public Safety",2010,2009-10-01,2010-09-30,217,171,TRUE,TRUE,33.473913,-112.105336,"2102 W Encanto BLVD, Phoenix, Arizona 85009-2847","AZ Department of Public Safety*","ICE 287(g) identification/removal statistics FY2006-2013 (FOIA)"
"ARIZONA","AZ Department of Public Safety","Ariz. Dept. of Public Safety",2011,2010-10-01,2011-09-30,387,231,TRUE,TRUE,33.473913,-112.105336,"2102 W Encanto BLVD, Phoenix, Arizona 85009-2847","AZ Department of Public Safety*","ICE 287(g) identification/removal statistics FY2006-2013 (FOIA)"
"ARIZONA","AZ Department of Public Safety","Ariz. Dept. of Public Safety",2012,2011-10-01,2012-09-30,50,22,TRUE,TRUE,33.473913,-112.105336,"2102 W Encanto BLVD, Phoenix, Arizona 85009-2847","AZ Department of Public Safety*","ICE 287(g) identification/removal statistics FY2006-2013 (FOIA)"
"ARIZONA","AZ Department of Public Safety","Ariz. Dept. of Public Safety",2013,2012-10-01,2013-09-30,0,10,TRUE,TRUE,33.473913,-112.105336,"2102 W Encanto BLVD, Phoenix, Arizona 85009-2847","AZ Department of Public Safety*","ICE 287(g) identification/removal statistics FY2006-2013 (FOIA)"
"ARIZONA","City of Mesa Police Department","City of Mesa Police Dept.",2006,2005-10-01,2006-09-30,,,FALSE,TRUE,33.418392,-111.837568,"130 N Robson, Mesa, AZ 85201","City of Mesa Police Department*","ICE 287(g) identification/removal statistics FY2006-2013 (FOIA)"
"ARIZONA","City of Mesa Police Department","City of Mesa Police Dept.",2007,2006-10-01,2007-09-30,,,FALSE,TRUE,33.418392,-111.837568,"130 N Robson, Mesa, AZ 85201","City of Mesa Police Department*","ICE 287(g) identification/removal statistics FY2006-2013 (FOIA)"
"ARIZONA","City of Mesa Police Department","City of Mesa Police Dept.",2008,2007-10-01,2008-09-30,,,FALSE,TRUE,33.418392,-111.837568,"130 N Robson, Mesa, AZ 85201","City of Mesa Police Department*","ICE 287(g) identification/removal statistics FY2006-2013 (FOIA)"
"ARIZONA","City of Mesa Police Department","City of Mesa Police Dept.",2009,2008-10-01,2009-09-30,,,FALSE,TRUE,33.418392,-111.837568,"130 N Robson, Mesa, AZ 85201","City of Mesa Police Department*","ICE 287(g) identification/removal statistics FY2006-2013 (FOIA)"
"ARIZONA","City of Mesa Police Department","City of Mesa Police Dept.",2010,2009-10-01,2010-09-30,91,70,TRUE,TRUE,33.418392,-111.837568,"130 N Robson, Mesa, AZ 85201","City of Mesa Police Department*","ICE 287(g) identification/removal statistics FY2006-2013 (FOIA)"
"ARIZONA","City of Mesa Police Department","City of Mesa Police Dept.",2011,2010-10-01,2011-09-30,153,110,TRUE,TRUE,33.418392,-111.837568,"130 N Robson, Mesa, AZ 85201","City of Mesa Police Department*","ICE 287(g) identification/removal statistics FY2006-2013 (FOIA)"
"ARIZONA","City of Mesa Police Department","City of Mesa Police Dept.",2012,2011-10-01,2012-09-30,102,55,TRUE,TRUE,33.418392,-111.837568,"130 N Robson, Mesa, AZ 85201","City of Mesa Police Department*","ICE 287(g) identification/removal statistics FY2006-2013 (FOIA)"
"ARIZONA","City of Mesa Police Department","City of Mesa Police Dept.",2013,2012-10-01,2013-09-30,0,41,TRUE,TRUE,33.418392,-111.837568,"130 N Robson, Mesa, AZ 85201","City of Mesa Police Department*","ICE 287(g) identification/removal statistics FY2006-2013 (FOIA)"
"ARIZONA","City of Phoenix Police Department","City of Phoenix Police Dept.",2006,2005-10-01,2006-09-30,,,FALSE,TRUE,33.448587,-112.081997,"620 W Washington St, Phoenix, AZ 85003","City of Phoenix Police Department*","ICE 287(g) identification/removal statistics FY2006-2013 (FOIA)"
"ARIZONA","City of Phoenix Police Department","City of Phoenix Police Dept.",2007,2006-10-01,2007-09-30,,,FALSE,TRUE,33.448587,-112.081997,"620 W Washington St, Phoenix, AZ 85003","City of Phoenix Police Department*","ICE 287(g) identification/removal statistics FY2006-2013 (FOIA)"
"ARIZONA","City of Phoenix Police Department","City of Phoenix Police Dept.",2008,2007-10-01,2008-09-30,,,FALSE,TRUE,33.448587,-112.081997,"620 W Washington St, Phoenix, AZ 85003","City of Phoenix Police Department*","ICE 287(g) identification/removal statistics FY2006-2013 (FOIA)"
"ARIZONA","City of Phoenix Police Department","City of Phoenix Police Dept.",2009,2008-10-01,2009-09-30,,,FALSE,TRUE,33.448587,-112.081997,"620 W Washington St, Phoenix, AZ 85003","City of Phoenix Police Department*","ICE 287(g) identification/removal statistics FY2006-2013 (FOIA)"
"ARIZONA","City of Phoenix Police Department","City of Phoenix Police Dept.",2010,2009-10-01,2010-09-30,4,1,TRUE,TRUE,33.448587,-112.081997,"620 W Washington St, Phoenix, AZ 85003","City of Phoenix Police Department*","ICE 287(g) identification/removal statistics FY2006-2013 (FOIA)"
"ARIZONA","City of Phoenix Police Department","City of Phoenix Police Dept.",2011,2010-10-01,2011-09-30,1,0,TRUE,TRUE,33.448587,-112.081997,"620 W Washington St, Phoenix, AZ 85003","City of Phoenix Police Department*","ICE 287(g) identification/removal statistics FY2006-2013 (FOIA)"
"ARIZONA","City of Phoenix Police Department","City of Phoenix Police Dept.",2012,2011-10-01,2012-09-30,0,0,FALSE,TRUE,33.448587,-112.081997,"620 W Washington St, Phoenix, AZ 85003","City of Phoenix Police Department*","ICE 287(g) identification/removal statistics FY2006-2013 (FOIA)"
"ARIZONA","City of Phoenix Police Department","City of Phoenix Police Dept.",2013,2012-10-01,2013-09-30,0,1,TRUE,TRUE,33.448587,-112.081997,"620 W Washington St, Phoenix, AZ 85003","City of Phoenix Police Department*","ICE 287(g) identification/removal statistics FY2006-2013 (FOIA)"
"ARIZONA","Florence Police Department","Florence Police Dept.",2006,2005-10-01,2006-09-30,,,FALSE,TRUE,,,,"Florence Police Department*","ICE 287(g) identification/removal statistics FY2006-2013 (FOIA)"
"ARIZONA","Florence Police Department","Florence Police Dept.",2007,2006-10-01,2007-09-30,,,FALSE,TRUE,,,,"Florence Police Department*","ICE 287(g) identification/removal statistics FY2006-2013 (FOIA)"
