agency,state,facility_name,latitude,longitude
"Rappahannock, Shenandoah, Warren Regional Jail Authority",Virginia,Rappahannock Shenandoah Warren Regional Jail,38.9137,-78.1772
Southwest Virginia Regional Jail Authority,Virginia,Southwest Virginia Regional Jail,37.1407,-81.7360
CNMI Department of Corrections,Commonwealth of the Northern Mariana Islands,CNMI Department of Corrections,15.1537,145.7232
Metropolitan Moore County Sheriff's Office,Tennessee,Moore County Sheriff's Office,35.2814,-86.3777
