state,county,agency,facility_name,source,facility_source_type,facility_operator_name,facility_source_state_fips,facility_source_county_fips,facility_status,doc_match_tier,doc_research_reason,facility_address,facility_city,facility_county,facility_latitude,facility_longitude
Mississippi,Hinds County,Mississippi Department of Corrections,Perry County Jail,jails_prisons,JAILS,NA,NA,NA,NA,doc_excluded_local_jail,source type indicates local/federal jail or non-DOC facility,103 First Street West,New Augusta,NA,NA,NA
Mississippi,Hinds County,Mississippi Department of Corrections,PERRY COUNTY JAIL / SHERIFF,hifld_prisons,COUNTY,NA,28,28111,OPEN,doc_excluded_local_jail,source type indicates local/federal jail or non-DOC facility,103 1ST STREET WEST,NEW AUGUSTA,Perry,31.2048172953448,-89.0355218031985
Mississippi,Hinds County,Mississippi Department of Corrections,PERRY COUNTY SHERIFFS DEPARTMENT / PERRY COUNTY JAIL,hifld,SHERIFF'S OFFICE,NA,28,28111,OPEN,doc_excluded_local_jail,source type indicates local/federal jail or non-DOC facility,103 1ST STREET WEST,NEW AUGUSTA,Perry,31.2047632,-89.0353427
Mississippi,Hinds County,Mississippi Department of Corrections,Picayune City Jail,jails_prisons,JAILS,NA,NA,NA,NA,doc_excluded_local_jail,source type indicates local/federal jail or non-DOC facility,328 South Main Street,Picayune,NA,NA,NA
Mississippi,Hinds County,Mississippi Department of Corrections,PIKE COUNTY JAIL,hifld_prisons,COUNTY,NA,28,28113,OPEN,doc_excluded_local_jail,source type indicates local/federal jail or non-DOC facility,2019 JESSE HALL MEMORIAL RD,MAGNOLIA,Pike,31.173695346576253,-90.4535006933202
Mississippi,Hinds County,Mississippi Department of Corrections,PIKE COUNTY SHERIFFS DEPARTMENT / PIKE COUNTY JAIL,hifld,SHERIFF'S OFFICE,NA,28,28113,OPEN,doc_excluded_local_jail,source type indicates local/federal jail or non-DOC facility,2109 JESSE HALL MEMORIAL ROAD,MAGNOLIA,Pike,31.1736596,-90.4533172
Mississippi,Hinds County,Mississippi Department of Corrections,PONTOTOC COUNTY JAIL,hifld_prisons,COUNTY,NA,28,28115,OPEN,doc_excluded_local_jail,source type indicates local/federal jail or non-DOC facility,490 HIGHWAY 6 W,PONTOTOC,Pontotoc,34.25358527807439,-89.03001354510806
Mississippi,Hinds County,Mississippi Department of Corrections,PONTOTOC COUNTY SHERIFFS DEPARTMENT / PONTOTOC COUNTY JAIL,hifld,SHERIFF'S OFFICE,NA,28,28115,OPEN,doc_excluded_local_jail,source type indicates local/federal jail or non-DOC facility,490 WEST STATE HIGHWAY 6,PONTOTOC,Pontotoc,34.2537778,-89.030213
Mississippi,Hinds County,Mississippi Department of Corrections,PRENTISS COUNTY JAIL,hifld_prisons,COUNTY,NA,28,28117,OPEN,doc_excluded_local_jail,source type indicates local/federal jail or non-DOC facility,1901B EAST CHAMBERS DRIVE,BOONEVILLE,Prentiss,34.658882026735895,-88.53519388413471
Mississippi,Hinds County,Mississippi Department of Corrections,PRENTISS COUNTY SHERIFFS DEPARTMENT / PRENTISS COUNTY JAIL,hifld,SHERIFF'S OFFICE,NA,28,28117,OPEN,doc_excluded_local_jail,source type indicates local/federal jail or non-DOC facility,"1901 EAST CHAMBERS DRIVE, PRENTISS COUNTY JUSTICE CRIMINAL CENTER",BOONEVILLE,Prentiss,34.6587661,-88.5348252
Mississippi,Hinds County,Mississippi Department of Corrections,Quitman County Jail,jails_prisons,JAILS,NA,NA,NA,NA,doc_excluded_local_jail,source type indicates local/federal jail or non-DOC facility,233 Chestnut Street,Marks,NA,NA,NA
Mississippi,Hinds County,Mississippi Department of Corrections,QUITMAN COUNTY JAIL / SHERIFF,hifld_prisons,COUNTY,NA,28,28119,OPEN,doc_excluded_local_jail,source type indicates local/federal jail or non-DOC facility,233 CHESTNUT STREET,MARKS,Quitman,34.25943233160055,-90.27005614540163
Mississippi,Hinds County,Mississippi Department of Corrections,QUITMAN COUNTY SHERIFFS OFFICE / QUITMAN COUNTY JAIL,hifld,SHERIFF'S OFFICE,NA,28,28119,OPEN,doc_excluded_local_jail,source type indicates local/federal jail or non-DOC facility,233 CHESTNUT STREET,MARKS,Quitman,34.2592794,-90.2701338
Mississippi,Hinds County,Mississippi Department of Corrections,RANKIN COUNTY JAIL,hifld_prisons,COUNTY,NA,28,28121,OPEN,doc_excluded_local_jail,source type indicates local/federal jail or non-DOC facility,221 N TIMBER ST,BRANDON,Rankin,32.2747187348675,-89.98580139967541
Mississippi,Hinds County,Mississippi Department of Corrections,RANKIN COUNTY JUVENILE JUSTICE CENTER,hifld_prisons,COUNTY,NA,28,28121,OPEN,doc_excluded_local_jail,source type indicates local/federal jail or non-DOC facility,100 COURT COVE,PELAHATCHIE,Rankin,32.311715498384366,-89.82522950452783
Mississippi,Hinds County,Mississippi Department of Corrections,RANKIN COUNTY SHERIFFS OFFICE / RANKIN COUNTY JAIL,hifld,SHERIFF'S OFFICE,NA,28,28121,OPEN,doc_excluded_local_jail,source type indicates local/federal jail or non-DOC facility,221 NORTH TIMBER STREET,BRANDON,Rankin,32.2745495,-89.9858875
Mississippi,Hinds County,Mississippi Department of Corrections,SCOTT COUNTY JAIL,hifld_prisons,COUNTY,NA,28,28123,OPEN,doc_excluded_local_jail,source type indicates local/federal jail or non-DOC facility,531 AIRPORT ROAD,FOREST,Scott,32.35392397595917,-89.48571393141755
Mississippi,Hinds County,Mississippi Department of Corrections,SCOTT COUNTY JUVENILE HOLDING FACILITY,hifld_prisons,COUNTY,NA,28,28123,OPEN,doc_excluded_local_jail,source type indicates local/federal jail or non-DOC facility,531 AIRPORT ROAD,FOREST,Scott,32.35532918225857,-89.48582707691388
Mississippi,Hinds County,Mississippi Department of Corrections,SCOTT COUNTY SHERIFFS DEPARTMENT / SCOTT COUNTY JAIL,hifld,SHERIFF'S OFFICE,NA,28,28123,OPEN,doc_excluded_local_jail,source type indicates local/federal jail or non-DOC facility,531 AIRPORT ROAD,FOREST,Scott,32.3550053,-89.4857649
Mississippi,Hinds County,Mississippi Department of Corrections,SHARKEY COUNTY SHERIFFS DEPARTMENT,hifld,SHERIFF'S OFFICE,NA,28,28125,OPEN,doc_excluded_local_jail,source type indicates local/federal jail or non-DOC facility,120 LOCUST STREET,ROLLING FORK,Sharkey,32.9078421,-90.8771481
