match_layer,state,county,agency,geom_class,needs_review,state_match,county_match,city_guess,city_match,manual_match_layer,src,manual_reason,manual_note,university_name,university_guess,university_guess_final,municipality_guess,municipality_type_hint,pa_constable_jurisdiction,resolved_county,county_match_status,review_reason,vtd_name,ward_name,ward_vtd_qa_status
municipal,Pennsylvania,Pike County,Eastern Pike Regional Police Department,municipal_polygon,TRUE,NA,NA,Eastern Pike Regional,Eastern Pike Regional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
municipal,Pennsylvania,Greene County,Greene Washington Regional Police Department,municipal_polygon,TRUE,NA,NA,Greene Washington Regional,Greene Washington Regional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
municipal,Pennsylvania,Lebanon County,Lebanon County Regional Police Department,municipal_polygon,TRUE,NA,NA,Lebanon County Regional,Lebanon County Regional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
municipal,Pennsylvania,Montour County,Mahoning TWP Police Department - Montour,municipal_polygon,TRUE,NA,NA,Mahoning Twp,Mahoning Twp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
municipal,Pennsylvania,York County,Northern York County Regional Police Department,municipal_polygon,TRUE,NA,NA,Northern York County Regional,Northern York County Regional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
municipal,Pennsylvania,NA,Northwest Regional Police Department,municipal_polygon,TRUE,NA,NA,Northwest Regional,Northwest Regional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
municipal,Pennsylvania,Lancaster County,Susquehanna Regional Police Department,municipal_polygon,TRUE,NA,NA,Susquehanna Regional,Susquehanna Regional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
municipal,Pennsylvania,York County,York County Regional Police Department,municipal_polygon,TRUE,NA,NA,York County Regional,York County Regional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
municipal,Texas,Bexar County,Bexar County Constable Precinct 3,municipal_polygon,TRUE,NA,NA,Bexar County Constable Precinct 3,Bexar County Constable Precinct 3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
municipal,Texas,Blanco County,Blanco County Constable Precinct 4,municipal_polygon,TRUE,NA,NA,Blanco County Constable Precinct 4,Blanco County Constable Precinct 4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
municipal,Texas,Cass County,Cass County Constable Precinct 3,municipal_polygon,TRUE,NA,NA,Cass County Constable Precinct 3,Cass County Constable Precinct 3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
municipal,Texas,Montgomery County,"Cut ""N"" Shoot Police Department",municipal_polygon,TRUE,NA,NA,"Cut ""N"" Shoot","Cut ""N"" Shoot",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
municipal,Texas,Delta County,Delta County Constable Precinct 5,municipal_polygon,TRUE,NA,NA,Delta County Constable Precinct 5,Delta County Constable Precinct 5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
municipal,Texas,Edwards County,Edwards County Constable Precinct 1,municipal_polygon,TRUE,NA,NA,Edwards County Constable Precinct 1,Edwards County Constable Precinct 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
municipal,Texas,Fannin County,Fannin County Constable Precinct 1,municipal_polygon,TRUE,NA,NA,Fannin County Constable Precinct 1,Fannin County Constable Precinct 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
municipal,Texas,Fannin County,Fannin County Constable Precinct 3,municipal_polygon,TRUE,NA,NA,Fannin County Constable Precinct 3,Fannin County Constable Precinct 3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
municipal,Texas,Freestone County,Freestone County Constable Precinct 2,municipal_polygon,TRUE,NA,NA,Freestone County Constable Precinct 2,Freestone County Constable Precinct 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
municipal,Texas,Galveston County,Galveston County Constable Precinct 2,municipal_polygon,TRUE,NA,NA,Galveston County Constable Precinct 2,Galveston County Constable Precinct 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
municipal,Texas,Galveston County,Galveston County Constable's Office Pct.1,municipal_polygon,TRUE,NA,NA,Galveston County Constable's,Galveston County Constable's,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
municipal,Texas,Galveston County,Galveston County Constable's Office Pct.4,municipal_polygon,TRUE,NA,NA,Galveston County Constable's,Galveston County Constable's,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
municipal,Texas,Guadalupe County,Guadalupe County Constable Precinct 1,municipal_polygon,TRUE,NA,NA,Guadalupe County Constable Precinct 1,Guadalupe County Constable Precinct 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
municipal,Texas,Guadalupe County,Guadalupe County Constable Precinct 4,municipal_polygon,TRUE,NA,NA,Guadalupe County Constable Precinct 4,Guadalupe County Constable Precinct 4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
municipal,Texas,Jasper County,Jasper County Constable Precinct 6,municipal_polygon,TRUE,NA,NA,Jasper County Constable Precinct 6,Jasper County Constable Precinct 6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
municipal,Texas,Kinney County,Kinney County Constable's Office,municipal_polygon,TRUE,NA,NA,Kinney County Constable's,Kinney County Constable's,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
municipal,Texas,Lavaca County,Lavaca County Constable Precinct 2,municipal_polygon,TRUE,NA,NA,Lavaca County Constable Precinct 2,Lavaca County Constable Precinct 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
municipal,Texas,Liberty County,Liberty County Constable Precinct 2,municipal_polygon,TRUE,NA,NA,Liberty County Constable Precinct 2,Liberty County Constable Precinct 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
municipal,Texas,Liberty County,Liberty County Constable Precinct 4,municipal_polygon,TRUE,NA,NA,Liberty County Constable Precinct 4,Liberty County Constable Precinct 4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
municipal,Texas,Liberty County,Liberty County Constable Precinct 6,municipal_polygon,TRUE,NA,NA,Liberty County Constable Precinct 6,Liberty County Constable Precinct 6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
municipal,Texas,Guadalupe Conty,New Berlin Marshal's Office,municipal_polygon,TRUE,NA,NA,New Berlin Marshal's,New Berlin Marshal's,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
municipal,Texas,Nueces County,Nueces County Constable Precinct 1,municipal_polygon,TRUE,NA,NA,Nueces County Constable Precinct 1,Nueces County Constable Precinct 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
municipal,Texas,Nueces County,Nueces County Constable Precinct 2,municipal_polygon,TRUE,NA,NA,Nueces County Constable Precinct 2,Nueces County Constable Precinct 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
municipal,Texas,Parker County,Parker County Constable Precinct 4,municipal_polygon,TRUE,NA,NA,Parker County Constable Precinct 4,Parker County Constable Precinct 4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
municipal,Texas,Bexar County,Saint Hedwig Marshal's Office,municipal_polygon,TRUE,NA,NA,Saint Hedwig Marshal's,Saint Hedwig Marshal's,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
municipal,Texas,Gonzales County,Smiley City Marshal's Office,municipal_polygon,TRUE,NA,NA,Smiley City Marshal's,Smiley City Marshal's,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
municipal,Texas,Wilson County,Stockdale Marshal's Office,municipal_polygon,TRUE,NA,NA,Stockdale Marshal's,Stockdale Marshal's,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
municipal,Texas,Trinity County,Trinity County Constable Precinct 1,municipal_polygon,TRUE,NA,NA,Trinity County Constable Precinct 1,Trinity County Constable Precinct 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
municipal,Texas,Trinity County,Trinity County Constable Precinct 2,municipal_polygon,TRUE,NA,NA,Trinity County Constable Precinct 2,Trinity County Constable Precinct 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
municipal,Texas,Trinity County,Trinity County Constable Precinct 4,municipal_polygon,TRUE,NA,NA,Trinity County Constable Precinct 4,Trinity County Constable Precinct 4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
municipal,Texas,Walker County,Walker County Constable Pct 3,municipal_polygon,TRUE,NA,NA,Walker County Constable Pct 3,Walker County Constable Pct 3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
municipal,West Virginia,Ohio County,Village of Clearview Police Department,municipal_polygon,TRUE,NA,NA,Village Of Clearview,Village Of Clearview,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
