status,layer,state,county,agency,match_value,suggested_name,suggested_geoid,boundary_src,match_dist,n_within_threshold,unique_best,manual_match_layer,manual_match_name,manual_reason,manual_note
suggestion,municipal,Oklahoma,Haskell County,Haskell County Sheriff's Office,Haskell County Sheriff's,Haskell,4010191261,cousub,0.11250000000000003,2,FALSE,municipal,Haskell,fuzzy_promoted,jw=0.113
suggestion,municipal,Pennsylvania,Greene County,Greene Washington Regional Police Department,Greene Washington Regional,Greene,4205930952,cousub,0.15384615384615385,40,FALSE,municipal,Greene,fuzzy_promoted,jw=0.154
suggestion,municipal,Pennsylvania,Greene County,Greene Washington Regional Police Department,Greene Washington Regional,Greene,4200730920,cousub,0.15384615384615385,40,FALSE,municipal,Greene,fuzzy_promoted,jw=0.154
suggestion,municipal,Pennsylvania,Greene County,Greene Washington Regional Police Department,Greene Washington Regional,Greene,4203530928,cousub,0.15384615384615385,40,FALSE,municipal,Greene,fuzzy_promoted,jw=0.154
suggestion,municipal,Pennsylvania,Lancaster County,Susquehanna Regional Police Department,Susquehanna Regional,Susquehanna Trails,4275574,place,0.0747222222222222,7,TRUE,municipal,Susquehanna Trails,fuzzy_promoted,jw=0.075
suggestion,municipal,Pennsylvania,Lancaster County,Susquehanna Regional Police Department,Susquehanna Regional,Susquehanna,4202175520,cousub,0.09000000000000007,7,TRUE,municipal,Susquehanna,fuzzy_promoted,jw=0.090
suggestion,municipal,Pennsylvania,Lancaster County,Susquehanna Regional Police Department,Susquehanna Regional,Susquehanna,4204375528,cousub,0.09000000000000007,7,TRUE,municipal,Susquehanna,fuzzy_promoted,jw=0.090
suggestion,municipal,Pennsylvania,Lebanon County,Lebanon County Regional Police Department,Lebanon County Regional,Lebanon,4242168,place,0.11250000000000003,7,FALSE,municipal,Lebanon,fuzzy_promoted,jw=0.113
suggestion,municipal,Pennsylvania,Lebanon County,Lebanon County Regional Police Department,Lebanon County Regional,Lebanon,4207542168,cousub,0.11250000000000003,7,FALSE,municipal,Lebanon,fuzzy_promoted,jw=0.113
suggestion,municipal,Pennsylvania,Lebanon County,Lebanon County Regional Police Department,Lebanon County Regional,Lebanon,4212742176,cousub,0.11250000000000003,7,FALSE,municipal,Lebanon,fuzzy_promoted,jw=0.113
suggestion,municipal,Pennsylvania,Montour County,Mahoning TWP Police Department - Montour,Mahoning Twp,Mahoning,4209346656,cousub,0.06666666666666672,14,FALSE,municipal,Mahoning,fuzzy_promoted,jw=0.067
suggestion,municipal,Pennsylvania,Montour County,Mahoning TWP Police Department - Montour,Mahoning Twp,Mahoning,4200546632,cousub,0.06666666666666672,14,FALSE,municipal,Mahoning,fuzzy_promoted,jw=0.067
suggestion,municipal,Pennsylvania,Montour County,Mahoning TWP Police Department - Montour,Mahoning Twp,Mahoning,4202546640,cousub,0.06666666666666672,14,FALSE,municipal,Mahoning,fuzzy_promoted,jw=0.067
suggestion,municipal,Pennsylvania,Pike County,Eastern Pike Regional Police Department,Eastern Pike Regional,East Union,4210721952,cousub,0.15650793650793648,89,TRUE,municipal,East Union,fuzzy_promoted,jw=0.157
suggestion,municipal,Pennsylvania,Pike County,Eastern Pike Regional Police Department,Eastern Pike Regional,East Donegal,4207121032,cousub,0.1580952380952381,89,TRUE,municipal,East Donegal,fuzzy_promoted,jw=0.158
suggestion,municipal,Pennsylvania,Pike County,Eastern Pike Regional Police Department,Eastern Pike Regional,East Norriton,4209121600,cousub,0.16237096237096235,89,TRUE,municipal,East Norriton,fuzzy_promoted,jw=0.162
suggestion,municipal,Pennsylvania,York County,Northern York County Regional Police Department,Northern York County Regional,North York,4255608,place,0.14909090909090905,66,FALSE,municipal,North York,fuzzy_promoted,jw=0.149
suggestion,municipal,Pennsylvania,York County,Northern York County Regional Police Department,Northern York County Regional,North York,4213355608,cousub,0.14909090909090905,66,FALSE,municipal,North York,fuzzy_promoted,jw=0.149
suggestion,municipal,Pennsylvania,York County,Northern York County Regional Police Department,Northern York County Regional,North Londonderry,4207555176,cousub,0.15802139037433155,66,FALSE,municipal,North Londonderry,fuzzy_promoted,jw=0.158
suggestion,municipal,Pennsylvania,York County,York County Regional Police Department,York County Regional,Yorkana,4287064,place,0.13626373626373633,13,FALSE,municipal,Yorkana,fuzzy_promoted,jw=0.136
suggestion,municipal,Pennsylvania,York County,York County Regional Police Department,York County Regional,Yorkana,4213387064,cousub,0.13626373626373633,13,FALSE,municipal,Yorkana,fuzzy_promoted,jw=0.136
suggestion,municipal,Pennsylvania,York County,York County Regional Police Department,York County Regional,York,4287048,place,0.13846153846153852,13,FALSE,municipal,York,fuzzy_promoted,jw=0.138
suggestion,municipal,Pennsylvania,NA,Northwest Regional Police Department,Northwest Regional,North Newton,4204155248,cousub,0.12171717171717174,75,TRUE,municipal,North Newton,fuzzy_promoted,jw=0.122
suggestion,municipal,Pennsylvania,NA,Northwest Regional Police Department,Northwest Regional,North Cornwall,4207554928,cousub,0.1285714285714286,75,TRUE,municipal,North Cornwall,fuzzy_promoted,jw=0.129
suggestion,municipal,Pennsylvania,NA,Northwest Regional Police Department,Northwest Regional,North Strabane,4212555432,cousub,0.1285714285714286,75,TRUE,municipal,North Strabane,fuzzy_promoted,jw=0.129
suggestion,municipal,Texas,Bexar County,Bexar County Constable Precinct 3,Bexar County Constable Precinct 3,Bear Creek Ranch,4806244,place,0.22435897435897437,3,TRUE,municipal,Bear Creek Ranch,fuzzy_promoted,jw=0.224
suggestion,municipal,Texas,Bexar County,Bexar County Constable Precinct 3,Bexar County Constable Precinct 3,Bear Creek,4806242,place,0.2306552706552707,3,TRUE,municipal,Bear Creek,fuzzy_promoted,jw=0.231
suggestion,municipal,Texas,Bexar County,Bexar County Constable Precinct 3,Bexar County Constable Precinct 3,Beasley,4806272,place,0.24322344322344333,3,TRUE,municipal,Beasley,fuzzy_promoted,jw=0.243
suggestion,municipal,Texas,Bexar County,Saint Hedwig Marshal's Office,Saint Hedwig Marshal's,St. Hedwig,4864172,place,0.08571428571428578,12,TRUE,municipal,St. Hedwig,fuzzy_promoted,jw=0.086
suggestion,municipal,Texas,Bexar County,Saint Hedwig Marshal's Office,Saint Hedwig Marshal's,St. Jo,4864184,place,0.1928571428571429,12,TRUE,municipal,St. Jo,fuzzy_promoted,jw=0.193
suggestion,municipal,Texas,Bexar County,Saint Hedwig Marshal's Office,Saint Hedwig Marshal's,St. Jo,4833793395,cousub,0.1928571428571429,12,TRUE,municipal,St. Jo,fuzzy_promoted,jw=0.193
suggestion,municipal,Texas,Blanco County,Blanco County Constable Precinct 4,Blanco County Constable Precinct 4,Blanco,4808536,place,0.15555555555555553,5,FALSE,municipal,Blanco,fuzzy_promoted,jw=0.156
suggestion,municipal,Texas,Blanco County,Blanco County Constable Precinct 4,Blanco County Constable Precinct 4,Blanco,4803190330,cousub,0.15555555555555553,5,FALSE,municipal,Blanco,fuzzy_promoted,jw=0.156
suggestion,municipal,Texas,Blanco County,Blanco County Constable Precinct 4,Blanco County Constable Precinct 4,Blanket,4808596,place,0.2174603174603175,5,FALSE,municipal,Blanket,fuzzy_promoted,jw=0.217
suggestion,municipal,Texas,Cass County,Cass County Constable Precinct 3,Cass County Constable Precinct 3,Casas,4813150,place,0.23333333333333334,1,TRUE,municipal,Casas,fuzzy_promoted,jw=0.233
suggestion,municipal,Texas,Delta County,Delta County Constable Precinct 5,Delta County Constable Precinct 5,Dell City,4819708,place,0.19743589743589746,4,FALSE,municipal,Dell City,fuzzy_promoted,jw=0.197
suggestion,municipal,Texas,Delta County,Delta County Constable Precinct 5,Delta County Constable Precinct 5,Dell City,4822990990,cousub,0.19743589743589746,4,FALSE,municipal,Dell City,fuzzy_promoted,jw=0.197
suggestion,municipal,Texas,Delta County,Delta County Constable Precinct 5,Delta County Constable Precinct 5,Del Sol,4819808,place,0.20384615384615384,4,FALSE,municipal,Del Sol,fuzzy_promoted,jw=0.204
suggestion,municipal,Texas,Fannin County,Fannin County Constable Precinct 1,Fannin County Constable Precinct 1,Fannett,4825404,place,0.2174603174603175,2,TRUE,municipal,Fannett,fuzzy_promoted,jw=0.217
suggestion,municipal,Texas,Fannin County,Fannin County Constable Precinct 1,Fannin County Constable Precinct 1,Fate,4825572,place,0.22716049382716055,2,TRUE,municipal,Fate,fuzzy_promoted,jw=0.227
suggestion,municipal,Texas,Fannin County,Fannin County Constable Precinct 3,Fannin County Constable Precinct 3,Fannett,4825404,place,0.2174603174603175,2,TRUE,municipal,Fannett,fuzzy_promoted,jw=0.217
suggestion,municipal,Texas,Fannin County,Fannin County Constable Precinct 3,Fannin County Constable Precinct 3,Fate,4825572,place,0.22716049382716055,2,TRUE,municipal,Fate,fuzzy_promoted,jw=0.227
suggestion,municipal,Texas,Freestone County,Freestone County Constable Precinct 2,Freestone County Constable Precinct 2,Freer,4827432,place,0.21333333333333335,5,FALSE,municipal,Freer,fuzzy_promoted,jw=0.213
suggestion,municipal,Texas,Freestone County,Freestone County Constable Precinct 2,Freestone County Constable Precinct 2,Freer,4813191405,cousub,0.21333333333333335,5,FALSE,municipal,Freer,fuzzy_promoted,jw=0.213
suggestion,municipal,Texas,Freestone County,Freestone County Constable Precinct 2,Freestone County Constable Precinct 2,Fresno,4827540,place,0.2255555555555556,5,FALSE,municipal,Fresno,fuzzy_promoted,jw=0.226
suggestion,municipal,Texas,Galveston County,Galveston County Constable Precinct 2,Galveston County Constable Precinct 2,Galveston,4828068,place,0.14000000000000007,3,FALSE,municipal,Galveston,fuzzy_promoted,jw=0.140
suggestion,municipal,Texas,Galveston County,Galveston County Constable Precinct 2,Galveston County Constable Precinct 2,Galveston,4816791445,cousub,0.14000000000000007,3,FALSE,municipal,Galveston,fuzzy_promoted,jw=0.140
suggestion,municipal,Texas,Galveston County,Galveston County Constable Precinct 2,Galveston County Constable Precinct 2,Galena Park,4827996,place,0.2316835016835017,3,FALSE,municipal,Galena Park,fuzzy_promoted,jw=0.232
suggestion,municipal,Texas,Galveston County,Galveston County Constable's Office Pct.1,Galveston County Constable's,Galveston,4828068,place,0.10999999999999999,6,FALSE,municipal,Galveston,fuzzy_promoted,jw=0.110
suggestion,municipal,Texas,Galveston County,Galveston County Constable's Office Pct.1,Galveston County Constable's,Galveston,4816791445,cousub,0.10999999999999999,6,FALSE,municipal,Galveston,fuzzy_promoted,jw=0.110
suggestion,municipal,Texas,Galveston County,Galveston County Constable's Office Pct.1,Galveston County Constable's,Gainesville Southeast,4809791440,cousub,0.2168253968253969,6,FALSE,municipal,Gainesville Southeast,fuzzy_promoted,jw=0.217
suggestion,municipal,Texas,Galveston County,Galveston County Constable's Office Pct.4,Galveston County Constable's,Galveston,4828068,place,0.10999999999999999,6,FALSE,municipal,Galveston,fuzzy_promoted,jw=0.110
suggestion,municipal,Texas,Galveston County,Galveston County Constable's Office Pct.4,Galveston County Constable's,Galveston,4816791445,cousub,0.10999999999999999,6,FALSE,municipal,Galveston,fuzzy_promoted,jw=0.110
suggestion,municipal,Texas,Galveston County,Galveston County Constable's Office Pct.4,Galveston County Constable's,Gainesville Southeast,4809791440,cousub,0.2168253968253969,6,FALSE,municipal,Gainesville Southeast,fuzzy_promoted,jw=0.217
suggestion,municipal,Texas,Gonzales County,Smiley City Marshal's Office,Smiley City Marshal's,Smiley,4868300,place,0.12000000000000004,3,FALSE,municipal,Smiley,fuzzy_promoted,jw=0.120
suggestion,municipal,Texas,Gonzales County,Smiley City Marshal's Office,Smiley City Marshal's,Smiley,4817793595,cousub,0.12000000000000004,3,FALSE,municipal,Smiley,fuzzy_promoted,jw=0.120
suggestion,municipal,Texas,Gonzales County,Smiley City Marshal's Office,Smiley City Marshal's,Smyer,4868504,place,0.23111111111111113,3,FALSE,municipal,Smyer,fuzzy_promoted,jw=0.231
suggestion,municipal,Texas,Guadalupe Conty,New Berlin Marshal's Office,New Berlin Marshal's,New Berlin,4850796,place,0.09473684210526322,17,TRUE,municipal,New Berlin,fuzzy_promoted,jw=0.095
suggestion,municipal,Texas,Guadalupe Conty,New Berlin Marshal's Office,New Berlin Marshal's,New Braunfels,4850820,place,0.16043430253956573,17,TRUE,municipal,New Braunfels,fuzzy_promoted,jw=0.160
suggestion,municipal,Texas,Guadalupe Conty,New Berlin Marshal's Office,New Berlin Marshal's,New Braunfels,4809192730,cousub,0.16043430253956573,17,TRUE,municipal,New Braunfels,fuzzy_promoted,jw=0.160
suggestion,municipal,Texas,Guadalupe County,Guadalupe County Constable Precinct 1,Guadalupe County Constable Precinct 1,Guadalupe Guerra,4831442,place,0.17391025641025648,1,TRUE,municipal,Guadalupe Guerra,fuzzy_promoted,jw=0.174
suggestion,municipal,Texas,Guadalupe County,Guadalupe County Constable Precinct 4,Guadalupe County Constable Precinct 4,Guadalupe Guerra,4831442,place,0.17391025641025648,1,TRUE,municipal,Guadalupe Guerra,fuzzy_promoted,jw=0.174
suggestion,municipal,Texas,Jasper County,Jasper County Constable Precinct 6,Jasper County Constable Precinct 6,Jasper,4837420,place,0.15555555555555553,2,FALSE,municipal,Jasper,fuzzy_promoted,jw=0.156
suggestion,municipal,Texas,Jasper County,Jasper County Constable Precinct 6,Jasper County Constable Precinct 6,Jasper,4824191920,cousub,0.15555555555555553,2,FALSE,municipal,Jasper,fuzzy_promoted,jw=0.156
suggestion,municipal,Texas,Lavaca County,Lavaca County Constable Precinct 2,Lavaca County Constable Precinct 2,Lavon,4841800,place,0.19012345679012346,4,TRUE,municipal,Lavon,fuzzy_promoted,jw=0.190
suggestion,municipal,Texas,Lavaca County,Lavaca County Constable Precinct 2,Lavaca County Constable Precinct 2,LaCoste,4840108,place,0.19753086419753083,4,TRUE,municipal,LaCoste,fuzzy_promoted,jw=0.198
suggestion,municipal,Texas,Lavaca County,Lavaca County Constable Precinct 2,Lavaca County Constable Precinct 2,Lancaster,4841212,place,0.2074074074074074,4,TRUE,municipal,Lancaster,fuzzy_promoted,jw=0.207
