staged_file,source_file,source_url,snapshot_ts,sha256
sheets/sheets_wayback_20260814/html_20210124_61f09bf5a4e4.xlsx,,https://web.archive.org/web/20210124113149/https://www.ice.gov/identify-and-arrest/287g,20210124113149,e827e179ba18f6c42a9cb33bec57a327b0f52ef4439701ec6c9ef581b0de0073
sheets/sheets_wayback_20260814/html_20210124_02_f66c655d7cdd.xlsx,,https://web.archive.org/web/20210124152213/https://www.ice.gov/identify-and-arrest/287g,20210124152213,783e349147f79d54a523785164dfc5f683990afc99310db177f2e09623cb934f
sheets/sheets_wayback_20260814/html_20210125_0c16531fc10f.xlsx,,https://web.archive.org/web/20210125155313/https://www.ice.gov/identify-and-arrest/287g,20210125155313,7a2223603c501932013ef9e9848fb34922884379ef37354c6ea24b50ab8df15d
sheets/sheets_wayback_20260814/html_20210126_17a72c6c8590.xlsx,,https://web.archive.org/web/20210126034948/https://www.ice.gov/identify-and-arrest/287g,20210126034948,7dab16887e0bb060b16787478bbd0cfe6b2956c5005c3010fd4c914dfe28c874
sheets/sheets_wayback_20260814/html_20210126_02_127631848745.xlsx,,https://web.archive.org/web/20210126191856/https://www.ice.gov/identify-and-arrest/287g,20210126191856,c7915fb3c0cd3d5ec0278a27eeff5baaea09b477b3bf87f9e5aca23eacf5fea3
sheets/sheets_wayback_20260814/html_20210127_57bbd4b73c0b.xlsx,,https://web.archive.org/web/20210127034420/https://www.ice.gov/identify-and-arrest/287g,20210127034420,992c15cf89c77cc34adec34416cee5ec73ba4d38b86b50c81968df4f2eaf0b8e
sheets/sheets_wayback_20260814/html_20210128_925acb672d4b.xlsx,,https://web.archive.org/web/20210128020225/https://www.ice.gov/identify-and-arrest/287g,20210128020225,4207796af4376833637451481e1f1f723e4abbc6c3a4189bcdb49e4b19e42323
sheets/sheets_wayback_20260814/html_20210129_7a1d94511184.xlsx,,https://web.archive.org/web/20210129033442/https://www.ice.gov/identify-and-arrest/287g,20210129033442,eca8565742100bed669a173feeabc7aec93083afda2742db183a8045f1e9be61
sheets/sheets_wayback_20260814/html_20210129_02_592b14cd36f5.xlsx,,https://web.archive.org/web/20210129145246/https://www.ice.gov/identify-and-arrest/287g,20210129145246,93ae69846902bb02eec0c160e5064d7790c795fb5148fc312a2b1c4b6ebf13bf
sheets/sheets_wayback_20260814/html_20210130_23de744249bb.xlsx,,https://web.archive.org/web/20210130042915/https://www.ice.gov/identify-and-arrest/287g,20210130042915,5e87dbd42fcf208d91ac8b596690745710f76205557a10db6292dfa731441689
sheets/sheets_wayback_20260814/html_20210131_25f0c8d274bf.xlsx,,https://web.archive.org/web/20210131051047/https://www.ice.gov/identify-and-arrest/287g,20210131051047,956f555c40dcdf14dd0812250c912a74360b9a5f3eaea3595c12e023b758b405
sheets/sheets_wayback_20260814/html_20210201_c587392b24fa.xlsx,,https://web.archive.org/web/20210201054650/https://www.ice.gov/identify-and-arrest/287g,20210201054650,a0912680b436136ecdf0992729295398e784bdf7b2dd1383bfa1ddb7ea38e1e2
sheets/sheets_wayback_20260814/html_20210202_ede4a611095d.xlsx,,https://web.archive.org/web/20210202065020/https://www.ice.gov/identify-and-arrest/287g,20210202065020,fb71048317147e8c268deea019f8f9d83ee8820c765904e5eb5b838eb7c29c35
sheets/sheets_wayback_20260814/html_20210203_b4ec1b70422c.xlsx,,https://web.archive.org/web/20210203072420/https://www.ice.gov/identify-and-arrest/287g,20210203072420,0aef1949c40f7f937fcc5368a6cad6d9e62ae73139c664ca3f88f218ddd327f3
sheets/sheets_wayback_20260814/html_20210203_02_7ea732c9ef1d.xlsx,,https://web.archive.org/web/20210203233533/https://www.ice.gov/identify-and-arrest/287g,20210203233533,3fbf79c6c2dea0f9b4078502128e5ae5d8b766060857d3e6a44dcf7d6e7476a8
sheets/sheets_wayback_20260814/html_20210205_fbdab750153e.xlsx,,https://web.archive.org/web/20210205090222/https://www.ice.gov/identify-and-arrest/287g,20210205090222,87e3c73ca1b397e018a3d915e69d418177fd6e650c888b6b707428094b5018fd
sheets/sheets_wayback_20260814/html_20210206_6be2fd93238c.xlsx,,https://web.archive.org/web/20210206104215/https://www.ice.gov/identify-and-arrest/287g,20210206104215,4bc620c93919593015085ddb0eb00d0505bd4261f9bf8c082d06bf97ff92c3b6
sheets/sheets_wayback_20260814/html_20210207_f6b44018a84c.xlsx,,https://web.archive.org/web/20210207060400/https://www.ice.gov/identify-and-arrest/287g,20210207060400,67c8b2f4fe52acc87acbb954d06adaf1392d29488a99be00ab827fde70719d4c
sheets/sheets_wayback_20260814/html_20210207_02_9b2c1164d2c4.xlsx,,https://web.archive.org/web/20210207202303/https://www.ice.gov/identify-and-arrest/287g,20210207202303,45ac733b838f1039d052fc5e7d89035b37890db0395b47f55d90a5a9163c663f
sheets/sheets_wayback_20260814/html_20210208_464ad3942990.xlsx,,https://web.archive.org/web/20210208070018/https://www.ice.gov/identify-and-arrest/287g,20210208070018,3e342e4aa2c352a9e6562e98e606320ca661f7c0f850d635b3201eef387283bb
sheets/sheets_wayback_20260814/html_20210208_02_49cd6c14a662.xlsx,,https://web.archive.org/web/20210208194102/https://www.ice.gov/identify-and-arrest/287g,20210208194102,9bf458297cc46a08ad3b06f40822b0ffb42149bf52031a71b1809d8c990ecb5d
sheets/sheets_wayback_20260814/html_20210209_14856e2bc4b6.xlsx,,https://web.archive.org/web/20210209072930/https://www.ice.gov/identify-and-arrest/287g,20210209072930,de2890545fa087481c8458a368fbc5ed2317483dfd24babe13c443c081fd3353
sheets/sheets_wayback_20260814/html_20210210_251f09b9385f.xlsx,,https://web.archive.org/web/20210210074635/https://www.ice.gov/identify-and-arrest/287g,20210210074635,88467d4edb41d161ebf2ff85f39a2cc0b1350a3fc5cfd70d3ef5bc99eb1009e5
sheets/sheets_wayback_20260814/html_20210211_bef40408fd2b.xlsx,,https://web.archive.org/web/20210211030230/https://www.ice.gov/identify-and-arrest/287g,20210211030230,a0c1a1818953d01d3995089d4789453e77d59bdebeb006bbb7a764d11f389cfc
sheets/sheets_wayback_20260814/html_20210211_02_55331462263f.xlsx,,https://web.archive.org/web/20210211083233/https://www.ice.gov/identify-and-arrest/287g,20210211083233,220df3001df2a2d11fc3edd7ededc1f74518789ae1fd28a8071a52b461ee4359
sheets/sheets_wayback_20260814/html_20210213_2f42b62cfc8c.xlsx,,https://web.archive.org/web/20210213095713/https://www.ice.gov/identify-and-arrest/287g,20210213095713,32d9cf5c58b4532a3a945a99c0239dbab324658eb585813c2873fd726227c611
sheets/sheets_wayback_20260814/html_20210213_02_1c35aacd3104.xlsx,,https://web.archive.org/web/20210213221502/https://www.ice.gov/identify-and-arrest/287g,20210213221502,2a21aeeb97bda1b3cb7d8b9b2fe28d8c001bb208f955d6b0734f873cd5833584
sheets/sheets_wayback_20260814/html_20210214_fa2190a4108d.xlsx,,https://web.archive.org/web/20210214110932/https://www.ice.gov/identify-and-arrest/287g,20210214110932,f174bbf2018cfacb2be48c09f43fb95be9a273eb693281b28ab31c9f29e84d83
sheets/sheets_wayback_20260814/html_20210215_26ad9e9f3733.xlsx,,https://web.archive.org/web/20210215043201/https://www.ice.gov/identify-and-arrest/287g,20210215043201,dd9684798fd9a4f1e0026adb457fda3e4b224b578149075c4d30df09169bc940
sheets/sheets_wayback_20260814/html_20210215_02_85e277ad2e20.xlsx,,https://web.archive.org/web/20210215113601/https://www.ice.gov/identify-and-arrest/287g,20210215113601,fefea72d677480c976efc27b5d39bf8de554bf3214386d58188848259ae911f2
