staged_file,source_file,agreement_url,url_stem,sha256,fetch_url,final_url,source_column,source_snapshot_ts
merge_ready/agreements/287gWSO_BrevardCoFl2019_05_06_20200327_a790e6924210.pdf,pdfs/287gWSO_BrevardCoFl2019_05_06_20200327_a790e6924210.pdf,https://www.ice.gov/doclib/287gMOA/287gWSO_BrevardCoFl2019-05-06.pdf,287gWSO_BrevardCoFl2019-05-06,a790e692421093345242d87920fd28c07d249b4daed7be0a73babc227aee8817,,,,
merge_ready/agreements/287gWSO_CharlotteCoFl2019_05_06_20210116_b7b4f2205bfc.pdf,pdfs/287gWSO_CharlotteCoFl2019_05_06_20210116_b7b4f2205bfc.pdf,https://www.ice.gov/doclib/287gMOA/287gWSO_CharlotteCoFl2019-05-06.pdf,287gWSO_CharlotteCoFl2019-05-06,b7b4f2205bfc4fbd67c0af7190109ecd1b4af3e783dc17845d60dfc421bb20a9,,,,
merge_ready/agreements/287gWSO_ColumbiaCoFl2019_05_06_20210116_980d69d0fe48.pdf,pdfs/287gWSO_ColumbiaCoFl2019_05_06_20210116_980d69d0fe48.pdf,https://www.ice.gov/doclib/287gMOA/287gWSO_ColumbiaCoFl2019-05-06.pdf,287gWSO_ColumbiaCoFl2019-05-06,980d69d0fe48a18e3470c6c3a7f6d7b066eb904fded9a46eaaf37beb5b4dce12,,,,
merge_ready/agreements/287gWSO_HernandoCoFl2019_05_06_20200327_2ece78be0feb.pdf,pdfs/287gWSO_HernandoCoFl2019_05_06_20200327_2ece78be0feb.pdf,https://www.ice.gov/doclib/287gMOA/287gWSO_HernandoCoFl2019-05-06.pdf,287gWSO_HernandoCoFl2019-05-06,2ece78be0feb79372a41e1dabb4bcb7ae9b1b7e65c8ac6c684b4b6be574aae81,,,,
merge_ready/agreements/287gWSO_BrowardCoFl2019_09_09_20210116_16ad011d778d.pdf,pdfs/287gWSO_BrowardCoFl2019_09_09_20210116_16ad011d778d.pdf,https://www.ice.gov/doclib/287gMOA/287gWSO_BrowardCoFl2019-09-09.pdf,287gWSO_BrowardCoFl2019-09-09,16ad011d778deec810cf6c93e94f07ed685eb73507ea087d3fda7de9dc8a0386,,,,
merge_ready/agreements/287gWSO_CalhounCoFl2019_09_09_20210116_18237824f18c.pdf,pdfs/287gWSO_CalhounCoFl2019_09_09_20210116_18237824f18c.pdf,https://www.ice.gov/doclib/287gMOA/287gWSO_CalhounCoFl2019-09-09.pdf,287gWSO_CalhounCoFl2019-09-09,18237824f18c040fa8593c7821ccb9847bbbb5867f01faf66c8c1f03c1f21bb5,,,,
merge_ready/agreements/287gWSO_FlaglerCoFl2019_09_09_20200327_f3a071c8eaa4.pdf,pdfs/287gWSO_FlaglerCoFl2019_09_09_20200327_f3a071c8eaa4.pdf,https://www.ice.gov/doclib/287gMOA/287gWSO_FlaglerCoFl2019-09-09.pdf,287gWSO_FlaglerCoFl2019-09-09,f3a071c8eaa47204444f7e0bbce261a2d30d9d4d6bb61765794f00a2719cfe38,,,,
merge_ready/agreements/287gWSO_BakerCoFl2019_10_15_20210116_e1a0288a8865.pdf,pdfs/287gWSO_BakerCoFl2019_10_15_20210116_e1a0288a8865.pdf,https://www.ice.gov/doclib/287gMOA/287gWSO_BakerCoFl2019-10-15.pdf,287gWSO_BakerCoFl2019-10-15,e1a0288a8865112b99b920607860354d74f01998d0a63d64de95c6f61299b306,,,,
merge_ready/agreements/287gWSO_BayCoFl2019_10_15_20200327_5726230798f2.pdf,pdfs/287gWSO_BayCoFl2019_10_15_20200327_5726230798f2.pdf,https://www.ice.gov/doclib/287gMOA/287gWSO_BayCoFl2019-10-15.pdf,287gWSO_BayCoFl2019-10-15,5726230798f20af02a0f6f20c04b68a7c59dbf2e764700e931f60668cf240648,,,,
merge_ready/agreements/287gWSO_BradfordCoFl2019_10_15_20210116_82bb44429c7f.pdf,pdfs/287gWSO_BradfordCoFl2019_10_15_20210116_82bb44429c7f.pdf,https://www.ice.gov/doclib/287gMOA/287gWSO_BradfordCoFl2019-10-15.pdf,287gWSO_BradfordCoFl2019-10-15,82bb44429c7f14a37b14e46e962cefed4a0e23afbd75820105fd5cdcef49a264,,,,
merge_ready/agreements/287gWSO_DesotoCoFl2019_10_15_20200327_3f6a8bfd4c30.pdf,pdfs/287gWSO_DesotoCoFl2019_10_15_20200327_3f6a8bfd4c30.pdf,https://www.ice.gov/doclib/287gMOA/287gWSO_DesotoCoFl2019-10-15.pdf,287gWSO_DesotoCoFl2019-10-15,3f6a8bfd4c30f88b96e3de732faff0a6e3c2314b08ea7fd9bda3219d6f587d35,,,,
merge_ready/agreements/287gWSO_FranklinCoFl2019_10_15_20200327_c3bab9406ff9.pdf,pdfs/287gWSO_FranklinCoFl2019_10_15_20200327_c3bab9406ff9.pdf,https://www.ice.gov/doclib/287gMOA/287gWSO_FranklinCoFl2019-10-15.pdf,287gWSO_FranklinCoFl2019-10-15,c3bab9406ff956ea2381eff28ac597ac584bd339b60b46fb730762f050cb259f,,,,
merge_ready/agreements/287gWSO_HamiltonCoFl2019_10_15_20200327_5a7b782cddfa.pdf,pdfs/287gWSO_HamiltonCoFl2019_10_15_20200327_5a7b782cddfa.pdf,https://www.ice.gov/doclib/287gMOA/287gWSO_HamiltonCoFl2019-10-15.pdf,287gWSO_HamiltonCoFl2019-10-15,5a7b782cddfa4b91b151ed0f15f5e9b03e88e909532d3969c211250e3c93f321,,,,
