match_layer,state,county,agency,geom_class,needs_review,state_match,county_match,city_guess,src,manual_reason,manual_note,university_name,university_guess,university_guess_final
municipal,Pennsylvania,Cumberland County,"Southampton Twp. Cumberland City, Constables Office",municipal_polygon,TRUE,NA,NA,"Southampton Twp. Cumberland City, Constables",NA,NA,NA,NA,NA,NA
municipal,Pennsylvania,Lancaster County,Susquehanna Regional Police Department,municipal_polygon,TRUE,NA,NA,Susquehanna Regional,NA,NA,NA,NA,NA,NA
municipal,Pennsylvania,Bradford County,Troy Township PA State Constable,municipal_polygon,TRUE,NA,NA,Troy Township Pa State Constable,NA,NA,NA,NA,NA,NA
municipal,Pennsylvania,York County,York County Regional Police Department,municipal_polygon,TRUE,NA,NA,York County Regional,NA,NA,NA,NA,NA,NA
municipal,Tennessee,Bradley County,Bradley County Constable District 1,municipal_polygon,TRUE,NA,NA,Bradley County Constable District 1,NA,NA,NA,NA,NA,NA
municipal,Tennessee,Bradley County,Bradley County Constable District 6,municipal_polygon,TRUE,NA,NA,Bradley County Constable District 6,NA,NA,NA,NA,NA,NA
municipal,Tennessee,Grundy County,Grundy County Constable District 3,municipal_polygon,TRUE,NA,NA,Grundy County Constable District 3,NA,NA,NA,NA,NA,NA
municipal,Tennessee,Monroe County,Monroe County Constable District 2,municipal_polygon,TRUE,NA,NA,Monroe County Constable District 2,NA,NA,NA,NA,NA,NA
municipal,Tennessee,Polk County,Polk County Constable District 2,municipal_polygon,TRUE,NA,NA,Polk County Constable District 2,NA,NA,NA,NA,NA,NA
municipal,Tennessee,Polk County,Polk County Constable District 4,municipal_polygon,TRUE,NA,NA,Polk County Constable District 4,NA,NA,NA,NA,NA,NA
municipal,Tennessee,Sevier County,Sevier County Constable District 5,municipal_polygon,TRUE,NA,NA,Sevier County Constable District 5,NA,NA,NA,NA,NA,NA
municipal,Texas,Bexar County,Bexar County Constable Precinct 3,municipal_polygon,TRUE,NA,NA,Bexar County Constable Precinct 3,NA,NA,NA,NA,NA,NA
municipal,Texas,Blanco County,Blanco County Constable Precinct 4,municipal_polygon,TRUE,NA,NA,Blanco County Constable Precinct 4,NA,NA,NA,NA,NA,NA
municipal,Texas,Montgomery County,"Cut ""N"" Shoot Police Department",municipal_polygon,TRUE,NA,NA,"Cut ""N"" Shoot",NA,NA,NA,NA,NA,NA
municipal,Texas,Delta County,Delta County Constable Precinct 5,municipal_polygon,TRUE,NA,NA,Delta County Constable Precinct 5,NA,NA,NA,NA,NA,NA
municipal,Texas,Fannin County,Fannin County Constable Precinct 3,municipal_polygon,TRUE,NA,NA,Fannin County Constable Precinct 3,NA,NA,NA,NA,NA,NA
municipal,Texas,Freestone County,Freestone County Constable Precinct 2,municipal_polygon,TRUE,NA,NA,Freestone County Constable Precinct 2,NA,NA,NA,NA,NA,NA
municipal,Texas,Galveston County,Galveston County Constable Precinct 2,municipal_polygon,TRUE,NA,NA,Galveston County Constable Precinct 2,NA,NA,NA,NA,NA,NA
municipal,Texas,Galveston County,Galveston County Constable's Office Pct.1,municipal_polygon,TRUE,NA,NA,Galveston County Constable's,NA,NA,NA,NA,NA,NA
municipal,Texas,Galveston County,Galveston County Constable's Office Pct.4,municipal_polygon,TRUE,NA,NA,Galveston County Constable's,NA,NA,NA,NA,NA,NA
