Alabama	Alabama, State of		stateofalabamadepartmentofpublicsafety.pdf
Alabama	Etowah County Sheriff's Office	2016-06-08	287gJEM_EtowahCoAl2016-06-18.pdf
Arizona	Arizona Department of Corrections	2016-06-08	287gJEM_ArizonaDepartmentofCorrectionsAZ2016-06-08.pdf
Arizona	Arizona Department of Public Safety		arizonadepartmentofpublicsafety.pdf
Arizona	Maricopa County		maricopacounty.pdf
Arizona	Mesa Police Department	2016-06-23	287gJEM_MesaPoliceDeparmentAz2016-06-23.pdf
Arizona	Phoenix Police Department		phoenixpolicedepartment.pdf
Arizona	Pima County Sheriff's Office		pimacountysheriffsoffice.pdf
Arizona	Pinal County Sheriff's Office	2009-10-15	pinalcountysheriffsoffice.pdf
Arizona	Pinal County Sheriff's Office	2016-06-13	287gJEM_PinalCoAz2016-06-13.pdf
Arizona	Yavapai County Sheriff's Office	2009-10-15	yavapaicountysheriffsoffice.pdf
Arkansas	Benton County Sheriff's Office	2007-09-20	bentoncountyarkansassheriffsoffice.pdf
Arkansas	Benton County Sheriff's Office	2016-06-13	r_287gbentoncounty.pdf
Arkansas	Craighead County Sheriff's Office	2019-02-28	287gJEM_CraigheadCoAr2019-02-28.pdf
Arkansas	Rogers Police Department		rogersarkansaspolicedepartment.pdf
Arkansas	Springdale Arkansas Police Department		springdalearkansaspolicedepartment.pdf
Arkansas	Washington County Sheriff's Office	2009-10-07	washingtoncountyarkansassheriffsoffice.pdf
Arkansas	Washington County Sheriff's Office	2016-06-23	287gJEM_WashingtonCoAr2016-06-23.pdf
Colorado	Colorado DPS / Colorado State Patrol		coloradodepartmentofpublicsafetycoloradostatepatrol.pdf
Colorado	El Paso County Sheriff's Office		elpasocountysheriffsoffice.pdf
Colorado	Teller County Sheriff's Office	2019-01-06	287gJEM_TellerCoCo2019-01-06.pdf
California	Los Angeles County Board of Supervisors		losangeles_county_board_of_supervisors.pdf
California	Orange, County of	2006-11-02	countyoforange.pdf
California	Orange County Sheriff's Department	2016-06-23	287gOrangeCountyCa2016-06-23.pdf
California	Riverside County Sheriff's Office		riversidecountysheriffsoffice.pdf
California	San Bernardino County		sanbernardinocounty.pdf
Florida	Collier County Sheriff's Office		colliercountysheriffsoffice.pdf
Florida	Clay County Sheriff's Office	2017-06-30	clay-fl-2017.pdf
Florida	Hernando County Sheriff's Office	2018-02-27	287gJEM_HernandoCoFl2018-02-27.pdf
Florida	Jacksonville County Sheriff's Office	2016-06-30	287gJEM_JacksonvilleCoFl2016-06-30.pdf
Florida	Jacksonville County Sheriff's Office	2020-06-09	287gJEM_JacksonvilleCoFl2020-06-09.pdf
Florida	Lake County Sheriff's Office		lakecountyfl.pdf
Florida	Pasco County Sheriff's Office	2017-08-22	287gPascoFl2017_8_22.pdf
Florida	Pasco County Sheriff's Office	2020-06-10	287gPascoFl2020-06-10.pdf
Georgia	Cobb County SO and Board of Commissioners	2007-01-31	cobbcountysheriffsofficeandcobbcountyboardofcommissioners.pdf
Georgia	Cobb County Sheriff's Office	2016-06-30	r_287gcobbcounty.pdf
Georgia	Cobb County Sheriff's Office	2020-06-09	287gJEMCobbCoGA_06-09-2020.pdf
Georgia	Georgia Department of Corrections	2018-02-05	287gJEM_GeorgiaDeparmentofCorrectionsGa2018-02-05.pdf
Georgia	Georgia, State of		stateofgeorgiadepartmentofpublicsafety.pdf
Georgia	Gwinnett County Sheriff's Office	2016-06-30	r_287ggwinnetcountyso.pdf
Georgia	Gwinnett County Sheriff's Office	2020-03-12	287gJEM_GwinnettCoGa2020-03-12.pdf
Georgia	Hall County Sheriff's Office	2009-10-15	hallcountysheriffsoffice.pdf
Georgia	Hall County Sheriff's Office	2016-06-23	287gJEM_HallCoGa2016-06-23.pdf
Illinois	Cook County State's Attorney's Office		moucookcountystatesattorneysoffice.pdf
Louisiana	East Baton Rouge Parish Sheriff's Office	2017-05-03	287gBatonRougeLa2017-05-03.pdf
Louisiana	East Baton Rouge Parish Sheriff's Office	2020-06-09	287gBatonRougeLa2020-06-09.pdf
Louisiana	Ouachita Parish Sheriff's Office	2019-02-28	287gJEM_OuachitaPLa2019-02-28.pdf
Louisiana	Ouachita Parish Sheriff's Office	2020-06-08	287gJEM_OuachitaCoLA_06-08-2020.pdf
Louisiana	Terrebonne Parish Sheriff's Office	2019-02-28	287gJEM_TerrebonnePLa2019-02-28.pdf
Maryland	Cecil County Sheriff's Office	2019-02-13	cecilCountyMD_MOA_02132019.pdf
Maryland	Frederick County Sheriff's Office	2008-02-01	frederickcountysheriffsoffice.pdf
Maryland	Frederick County Sheriff's Office	2016-08-03	Frederick_County_MOA_2016.pdf
Maryland	Harford County Sheriff's Office	2016-10-26	287gJEM_HarfordCoMd2016-10-26.pdf
Massachusetts	Barnstable County Sheriff's Office	2007-08-25	barnstablecountysheriffsoffice.pdf
Massachusetts	Barnstable County Sheriff's Office	2020-06-09	287gJEM_BarnstableCoMA2020-06-09.pdf
Massachusetts	Bristol County Sheriff's Office	2017-01-18	Bristol_MOA_01182017.pdf
Massachusetts	Bristol County Sheriff's Office	2017-02-08	287gBristolMa2017-02-08.pdf
Massachusetts	Bristol County Sheriff's Office	2020-06-08	287gJEM_BristolCoMA_06-08-2020.pdf
Massachusetts	Framingham Police Department		framinghammassachusettspolicedepartment.pdf
Massachusetts	Massachusetts Department of Correction	2016-06-23	massachusettsdepartmentofcorrections.pdf
Massachusetts	Plymouth County Sheriff's Department	2017-01-18	Plymouth_MOA_01182017.pdf
Massachusetts	Plymouth County Sheriff's Department	2020-06-08	287gJEM_PlymouthCoMA2020-06-08.pdf
Missouri	Missouri State Highway Patrol		287goldmissouristatehighwaypatrol.pdf
Nebraska	Dakota County Sheriff's Office	2018-01-16	287g-DAKOTACounty.pdf
Nevada	Las Vegas Metropolitan Police Department	2008-09-08	287goldlasvegasmpd.pdf
Nevada	Las Vegas Metropolitan Police Department	2019-06-03	r_287glasvegaspd.pdf
Nevada	Lyon County Sheriff's Office	2018-05-04	287gJEM_LyonCoNv2018-05-04.pdf
Nevada	Nye County Sheriff's Office	2017-04-20	287gJEM_NyeCoNv2017-04-20.pdf
Nevada	Nye County Sheriff's Office	2020-06-09	287gJEM_NyeCoNV_06-09-2020.pdf
New Hampshire	Hudson Police Department		hudsonpolicedepartment.pdf
New Jersey	Cape May County Sheriffs Office	2017-10-04	287gCapeMayNj2017-04-10.pdf
New Jersey	Monmouth County Sheriff's Office	2009-10-15	287gMonmouthNJ_2009-10-15.pdf
New Jersey	Monmouth County Sheriff's Office (Addendum)	2019-03-08	287gJEM_MonmouthCoNj2016-06-08.pdf
New Jersey	Morristown, NJ		287gmorristownnj.pdf
New Mexico	New Mexico Corrections Department		stateofnewmexicocorrectionsdepartment.pdf
New York	Rensselaer County Sheriff's Office	2018-02-09	287gJEM_RensselaerCoNy2018-02-09.pdf
North Carolina	Alamance County Sheriff's Office		sheriffsofficeofalamancecounty.pdf
North Carolina	Brunswick County Sheriff's Office	2020-06-08	287gJEM_BrunswickCoNC_06-08-2020.pdf
North Carolina	Cabbarus County Sheriff's Office	2007-07-10	cabbaruscountysheriffsoffice.pdf
North Carolina	Cabarrus County Sheriff's Office	2016-06-28	r_287gcabarrus.pdf
North Carolina	Durham Police Department		durhampolicedepartment.pdf
North Carolina	Gaston County Sheriff's Office		gastoncountysheriffsoffice.pdf
North Carolina	Mecklenburg County Sheriff's Office		mecklenburgcountysheriffsoffice.pdf
North Carolina	Nash County Sheriff's Office	2018-02-02	287gJEM_NashCoNc2018-02-02.pdf
Ohio	Butler County Sheriff's Office	2008-02-05	butlercountysheriffsoffice.pdf
Ohio	Butler County Sheriff's Office	2016-09-30	r_287gbutlercounty.pdf
Ohio	Butler County Sheriff's Office	2020-06-09	287gJEM_ButlerCoOH_06-09-2020.pdf
Oklahoma	Canadian County Sheriff's Office	2018-01-25	287g-CanadianCounty.pdf
Oklahoma	Okmulgee County Criminal Justice Authority	2018-01-25	287gJEM_OkmulgeeCoCrimJusOk2018-01-25.pdf
Oklahoma	Tulsa County Sheriff's Office	2009-10-05	tulsacountysheriffsoffice.pdf
Oklahoma	Tulsa County Sheriff's Office	2016-06-23	287gJEM_TulsaCoOk2016-06-23.pdf
South Carolina	Charleston County Sheriff's Office	2016-06-23	r_287gcharlestoncounty.pdf
South Carolina	Charleston County Sheriff's Office	2020-06-09	287gJEM_CharlestonCoSC_06-09-2020.pdf
South Carolina	Horry County Sheriff's Office	2017-06-30	287gJEM_HorryCoSc2017-06-30.pdf
South Carolina	Lexington County Sheriff's Office	2016-11-04	287gJEM_LexingtonCoSc2016-11-04.PDF
South Carolina	York County Sheriff's Office	2009-10-15	yorkcountysheriffsofficesouthcarolina.pdf
South Carolina	York County Sheriff's Office	2016-06-28	287gJEM_YorkCoSc2016-06-30.pdf
Tennessee	Davidson County (Metro) Sheriff's Office		davidsoncountysheriffsoffice.pdf
Tennessee	Greene County Sheriff's Office	2019-02-28	287gJEM_GreeneCoTn2019-02-28.pdf
Tennessee	Knox County Sheriff's Office	2017-06-15	287gJEM_KnoxCoTn2017-06-15.pdf
Texas	Aransas County Sheriff's Office	2017-06-30	aransas-tx-2017.pdf
Texas	Burnet County Sheriff's Office	2018-02-02	287gJEM_BurnetCoTx2018-02-02.pdf
Texas	Calhoun County Sheriff's Office	2017-06-28	calhoun-tx-2017.pdf
Texas	Carrollton Police Department		r_287gcarrollton.pdf
Texas	Chambers County Sheriff's Office	2017-07-17	chambers-tx-2017.pdf
Texas	DeWitt County Sheriff's Office	2017-06-30	DeWitt-tx-2017.pdf
Texas	Galveston County Sheriff's Office	2017-06-30	galveston-tx-2017.pdf
Texas	Goliad County Sheriff's Office	2017-06-26	287gJEM_GoliadCoTx2017-06-26.pdf
Texas	Jackson County Sheriff's Office	2017-01-26	287gJEM_JacksonCoTx2017-01-26.pdf
Texas	Kendall County Sheriff's Office	2018-03-26	287g_KendallCountyTX.pdf
Texas	Kendall County Sheriff's Office	2020-03-13	287gJEM_KendallCoTX_03-13-2020.pdf
Texas	Lavaca County Sheriff's Office	2017-06-30	287gJEM_LavacaCoTx2017-06-30.pdf
Texas	Lubbock County Sheriff's Office	2016-11-16	287gJEM_LubbockCoTx2016-11-16.pdf
Texas	Matagorda County Sheriff's Office	2017-07-27	287gMatagordaTx2017_07_27.pdf
Texas	Montgomery County Sheriff's Office	2017-06-28	montgomery-tx-2017.pdf
Texas	Potter County Sheriff's Office	2018-01-25	287gJEM_PotterCoTx2018-01-25.pdf
Texas	Refugio County Sheriff's Office	2017-06-28	287gJEM_RefugioCoTx2017-06-28.pdf
Texas	Rockwall County Sheriff's Office	2018-01-25	287gJEM_RockwallCoTx2018-01-25.pdf
Texas	Smith County Sheriff's Office	2017-04-25	287gJEM_SmithCoTx2017-04-25.pdf
Texas	Tarrant County Sheriff's Office	2017-06-19	287gJEM_TarrantCoTx2017-06-19.pdf
Texas	Terrell County Sheriff's Office	2018-01-25	287gJEM_TerrellCoTx2018-01-25.pdf
Texas	Victoria County Sheriff's Office	2017-07-12	287gJEM_VictoriaCoTx2017-07-12.pdf
