"state","agency_name","hyperlink","document_type","original_state_folder","sanitized_state_folder","original_agency_folder","sanitized_agency_folder","original_filename","sanitized_filename","saved_path","file_hash"
"FLORIDA","Jasper Police Department","https://www.ice.gov/doclib/287gMOA/JasperPoliceDeptFL_TFM_MOA_04272026.pdf","MOA","FLORIDA","FLORIDA","Jasper Police Department","Jasper_Police_Department","JasperPoliceDeptFL_TFM_MOA_04272026.pdf","MOA_JasperPoliceDeptFL_TFM_MOA_04272026.pdf","agreements/agreements_20260902_013717/FLORIDA/Jasper_Police_Department/MOA_JasperPoliceDeptFL_TFM_MOA_04272026.pdf","a1605489826dceefc9d38c311701774532474eb6a92566184b479e8edbe667c5"
"FLORIDA","Jefferson County Sheriff's Office","https://www.ice.gov/doclib/287gMOA/jeffersonCountySherrifsOffice_TF_MOA_03122025.pdf","MOA","FLORIDA","FLORIDA","Jefferson County Sheriff's Office","Jefferson_County_Sheriff's_Office","jeffersonCountySherrifsOffice_TF_MOA_03122025.pdf","MOA_jeffersonCountySherrifsOffice_TF_MOA_03122025.pdf","agreements/agreements_20260902_013717/FLORIDA/Jefferson_County_Sheriff's_Office/MOA_jeffersonCountySherrifsOffice_TF_MOA_03122025.pdf","b3d5497c9c0d50ee7c94470cd8f51cc81090cf9f095835955e0adbd9c521bfa3"
"FLORIDA","Jefferson County Sheriff's Office","https://www.ice.gov/doclib/287gMOA/287gWSO_JeffersonCoFl2019-10-15.pdf","MOA","FLORIDA","FLORIDA","Jefferson County Sheriff's Office","Jefferson_County_Sheriff's_Office","287gWSO_JeffersonCoFl2019-10-15.pdf","MOA_287gWSO_JeffersonCoFl2019-10-15.pdf","agreements/agreements_20260902_013717/FLORIDA/Jefferson_County_Sheriff's_Office/MOA_287gWSO_JeffersonCoFl2019-10-15.pdf","4c9f659ac926afffb2e5569e6a2fb27786eb5413028bf42c83668025c7a3f057"
"FLORIDA","Jefferson County Sheriff's Office","https://gcc02.safelinks.protection.outlook.com/?url=https%3A%2F%2Fwww.ice.gov%2Fdoclib%2F287gMOA%2FjeffersonCountySherrifsOffice_WSO_MOA_06252025.pdf&amp;data=05%7C02%7CERO287g%40ice.dhs.gov%7Caa7c625afe734a3e067a08ddb8d11211%7C1b87612a306c49d681e697c6e1a9197f%7C0%7C0%7C638869930267977012%7CUnknown%7CTWFpbGZsb3d8eyJFbXB0eU1hcGkiOnRydWUsIlYiOiIwLjAuMDAwMCIsIlAiOiJXaW4zMiIsIkFOIjoiTWFpbCIsIldUIjoyfQ%3D%3D%7C0%7C%7C%7C&amp;sdata=hzGh2z9I3t6RkK3i%2Fun1Fidn18HV4%2FSBlJmxbBgvt9Y%3D&amp;reserved=0","addendum","FLORIDA","FLORIDA","Jefferson County Sheriff's Office","Jefferson_County_Sheriff's_Office","gcc02.safelinks.protection.outlook.com","addendum_gcc02.safelinks.protection.outlook.com","agreements/agreements_20260902_013717/FLORIDA/Jefferson_County_Sheriff's_Office/addendum_gcc02.safelinks.protection.outlook.com","a5b77bdd93bacce85a313a8677e732e56086c741a875ad4771a26493ce6bc7c5"
"FLORIDA","Juno Beach Police Department","https://www.ice.gov/doclib/287gMOA/JunoBeachPDFL_TF_MOA_030525.pdf","MOA","FLORIDA","FLORIDA","Juno Beach Police Department","Juno_Beach_Police_Department","JunoBeachPDFL_TF_MOA_030525.pdf","MOA_JunoBeachPDFL_TF_MOA_030525.pdf","agreements/agreements_20260902_013717/FLORIDA/Juno_Beach_Police_Department/MOA_JunoBeachPDFL_TF_MOA_030525.pdf","2eb629d70b72e094f5b2d201c1fcaff966b639833b6edb63b4bf4c56b85a6066"
"FLORIDA","Jupiter Inlet Colony Police Department","https://www.ice.gov/doclib/287gMOA/JupiterInletColonyPolice_TFM_MOA_031025.pdf","MOA","FLORIDA","FLORIDA","Jupiter Inlet Colony Police Department","Jupiter_Inlet_Colony_Police_Department","JupiterInletColonyPolice_TFM_MOA_031025.pdf","MOA_JupiterInletColonyPolice_TFM_MOA_031025.pdf","agreements/agreements_20260902_013717/FLORIDA/Jupiter_Inlet_Colony_Police_Department/MOA_JupiterInletColonyPolice_TFM_MOA_031025.pdf","6137db746a6da890fdef845e4b21889ad28b680a75aa41e8079107d68417fe12"
"FLORIDA","Jupiter Island Department of Public Safety","https://www.ice.gov/doclib/287gMOA/JupiterIslandDPSFL_TFM_MOA_032625.pdf","MOA","FLORIDA","FLORIDA","Jupiter Island Department of Public Safety","Jupiter_Island_Department_of_Public_Safety","JupiterIslandDPSFL_TFM_MOA_032625.pdf","MOA_JupiterIslandDPSFL_TFM_MOA_032625.pdf","agreements/agreements_20260902_013717/FLORIDA/Jupiter_Island_Department_of_Public_Safety/MOA_JupiterIslandDPSFL_TFM_MOA_032625.pdf","849df6d91d774be35284e7af6f3c1f720eb6dff0dd7aa5bfd1245b8301f54cb7"
"FLORIDA","Jupiter Police Department","https://www.ice.gov/doclib/287gMOA/JupiterPDFL_TFM_MOA_032425.pdf","MOA","FLORIDA","FLORIDA","Jupiter Police Department","Jupiter_Police_Department","JupiterPDFL_TFM_MOA_032425.pdf","MOA_JupiterPDFL_TFM_MOA_032425.pdf","agreements/agreements_20260902_013717/FLORIDA/Jupiter_Police_Department/MOA_JupiterPDFL_TFM_MOA_032425.pdf","350fe549cffa84b9e56b276f81c32ef617e7e0cf91d47d60b5f6eb72d8759a0c"
"FLORIDA","Kenneth City Police Department","https://www.ice.gov/doclib/287gMOA/KennethCityPoliceDeptFL_TFM_MOA_02.27.2025.pdf","MOA","FLORIDA","FLORIDA","Kenneth City Police Department","Kenneth_City_Police_Department","KennethCityPoliceDeptFL_TFM_MOA_02.27.2025.pdf","MOA_KennethCityPoliceDeptFL_TFM_MOA_02.27.2025.pdf","agreements/agreements_20260902_013717/FLORIDA/Kenneth_City_Police_Department/MOA_KennethCityPoliceDeptFL_TFM_MOA_02.27.2025.pdf","c234c5a152993e8a3a4602cc99642406027bc3af2dd7778e06e76159d7b9d3f9"
"FLORIDA","Key Colony Beach Police Department","https://www.ice.gov/doclib/287gMOA/KeyColonyBeachPoliceDeptFL_TFM_MOA_04.10.2025.pdf","MOA","FLORIDA","FLORIDA","Key Colony Beach Police Department","Key_Colony_Beach_Police_Department","KeyColonyBeachPoliceDeptFL_TFM_MOA_04.10.2025.pdf","MOA_KeyColonyBeachPoliceDeptFL_TFM_MOA_04.10.2025.pdf","agreements/agreements_20260902_013717/FLORIDA/Key_Colony_Beach_Police_Department/MOA_KeyColonyBeachPoliceDeptFL_TFM_MOA_04.10.2025.pdf","abb8f31b4e3ccc8624358930264b4775cd6bb38a587bf3baa5c4185bc590322a"
