saved_path,file_hash,url,retrieved_at,state,agency,original_filename,note
agreements/agreements_20260708_023507/ALABAMA/Brookside_Police_Department/BrooksidePoliceDeptAL_TFM_MOA_06142026.pdf,4b9bde9313e6a2cef25f4308a049483bb5e32d9b34d756485c7eb78509a18de9,,2026-07-08T02:35:07Z,ALABAMA,Brookside Police Department,BrooksidePoliceDeptAL_TFM_MOA_06142026.pdf,manifest reconstructed after the fact; this scraper run predates download logging
agreements/agreements_20260708_023507/ALABAMA/Clayton_Police_Department/ClaytonPoliceDeptAL_TFM_MOA_06142026.pdf,5ef509aef9a3e06fa6acf4c586a2a9f129cb568b7c81dac835370f18a27ec773,,2026-07-08T02:35:07Z,ALABAMA,Clayton Police Department,ClaytonPoliceDeptAL_TFM_MOA_06142026.pdf,manifest reconstructed after the fact; this scraper run predates download logging
agreements/agreements_20260708_023507/ALABAMA/Leighton_Police_Department/LeightonPoliceDeptAL_TFM_MOA_06162026.pdf,ca80660b4740a61549abfd09b412c3cc6c0e27d32ed1c5998ee6fe21570bf026,,2026-07-08T02:35:07Z,ALABAMA,Leighton Police Department,LeightonPoliceDeptAL_TFM_MOA_06162026.pdf,manifest reconstructed after the fact; this scraper run predates download logging
agreements/agreements_20260708_023507/ARKANSAS/Alexander_Police_Department/AlexanderPoliceDeptAR_TFM_MOA_062632026.pdf,a66293a1ea0eddd7306f5ac21e28ae030dfed226c2be12bdc9ef3676ad077540,,2026-07-08T02:35:07Z,ARKANSAS,Alexander Police Department,AlexanderPoliceDeptAR_TFM_MOA_062632026.pdf,manifest reconstructed after the fact; this scraper run predates download logging
agreements/agreements_20260708_023507/ARKANSAS/Clark_County_Sheriff's_Office/ClarkCoSheriffsOfficeAR_JEM_MOA_03312026.pdf,932a741806e12ce5bbc0ea72ab602027f233db2f0bead8302f9d93f791fc8341,,2026-07-08T02:35:07Z,ARKANSAS,Clark County Sheriff's Office,ClarkCoSheriffsOfficeAR_JEM_MOA_03312026.pdf,manifest reconstructed after the fact; this scraper run predates download logging
agreements/agreements_20260708_023507/ARKANSAS/Crawford_County_Sheriff's_Office/CrawfordCoSheriffsOfficeAR_TFM_MOA_06092026.pdf,84e6a512e3da4d2f42184f5c2c2f65578f34cd45f37d651f537bee5937f853c5,,2026-07-08T02:35:07Z,ARKANSAS,Crawford County Sheriff's Office,CrawfordCoSheriffsOfficeAR_TFM_MOA_06092026.pdf,manifest reconstructed after the fact; this scraper run predates download logging
agreements/agreements_20260708_023507/ARKANSAS/Forrest_City_Police_Department/ForrestCityPoliceDeptAR_TFM_MOA_062632026.pdf,8cd1451472e6573a5b542806565807aac7c999c872df588c1ab9cd8621a94220,,2026-07-08T02:35:07Z,ARKANSAS,Forrest City Police Department,ForrestCityPoliceDeptAR_TFM_MOA_062632026.pdf,manifest reconstructed after the fact; this scraper run predates download logging
agreements/agreements_20260708_023507/ARKANSAS/Grant_County_Sheriff's_Department/GrantCoSheriffsDeptAR_TFM_MOA_06092026.pdf.pdf,b321515413ed39122040351e1d96b0b19588e47e5a58230453dc89dd1f0f9809,,2026-07-08T02:35:07Z,ARKANSAS,Grant County Sheriff's Department,GrantCoSheriffsDeptAR_TFM_MOA_06092026.pdf.pdf,manifest reconstructed after the fact; this scraper run predates download logging
agreements/agreements_20260708_023507/ARKANSAS/Hazen_Police_Department/HazenPoliceDeptAR_TFM_MOA_06152026.pdf,12f6bef03b23a28f9c2d283750451396c54cb49def4deb60d622c0a918d540c2,,2026-07-08T02:35:07Z,ARKANSAS,Hazen Police Department,HazenPoliceDeptAR_TFM_MOA_06152026.pdf,manifest reconstructed after the fact; this scraper run predates download logging
agreements/agreements_20260708_023507/ARKANSAS/Logan_County_Sheriff's_Office/LoganCoSheriffsOfficeAR_TFM_MOA_06142026.pdf,f5c1af511462d6ec1c35fae5e8295de2fc3ddb41b855a85079b7153906f75af6,,2026-07-08T02:35:07Z,ARKANSAS,Logan County Sheriff's Office,LoganCoSheriffsOfficeAR_TFM_MOA_06142026.pdf,manifest reconstructed after the fact; this scraper run predates download logging
agreements/agreements_20260708_023507/ARKANSAS/Mississippi_County_Sheriff's_Office/MississippiCoSheriffsOfficeAR_TFM_MOA_06232026.pdf,ba23e1a5f432fa80d6670e02a92d415d8ab450e98a65def3a9dd67a65a6d4bed,,2026-07-08T02:35:07Z,ARKANSAS,Mississippi County Sheriff's Office,MississippiCoSheriffsOfficeAR_TFM_MOA_06232026.pdf,manifest reconstructed after the fact; this scraper run predates download logging
agreements/agreements_20260708_023507/ARKANSAS/Mountainburg_Police_Department/MountainburgPoliceDeptAR_TFM_MOA_06152026.pdf,19ad8db8b7e392efc3233751bf94405e351376a71c8dc59589351f3d10334b6c,,2026-07-08T02:35:07Z,ARKANSAS,Mountainburg Police Department,MountainburgPoliceDeptAR_TFM_MOA_06152026.pdf,manifest reconstructed after the fact; this scraper run predates download logging
agreements/agreements_20260708_023507/ARKANSAS/Saline_County_Sheriff's_Office/SalineCoSheriffsOfficeAR_TFM_MOA_06222026.pdf,fac7074cc69353b613477c6c27986bf76a590b36768af15b20c573d5ca8c1878,,2026-07-08T02:35:07Z,ARKANSAS,Saline County Sheriff's Office,SalineCoSheriffsOfficeAR_TFM_MOA_06222026.pdf,manifest reconstructed after the fact; this scraper run predates download logging
"agreements/agreements_20260708_023507/FLORIDA/Office_of_the_State_Attorney,_20th_Judicial_Circuit_/StateAttorneyOffice20thJudicialCircuitFL_TFM_MOA_05052026.pdf",0a52a36e2c9e683dcc21d6e30997e14d57ec3f27c75e319af9e9b50f3409ce29,,2026-07-08T02:35:07Z,FLORIDA,"Office of the State Attorney, 20th Judicial Circuit ",StateAttorneyOffice20thJudicialCircuitFL_TFM_MOA_05052026.pdf,manifest reconstructed after the fact; this scraper run predates download logging
agreements/agreements_20260708_023507/GEORGIA/Flowery_Branch_Police_Department/FloweryBranchPoliceDeptGA_TFM_MOA_06232026.pdf,d55dbfb1a7f19db6d7a6ca874502cbbc2fd3099e3d1d33a8ad1c9817ef225354,,2026-07-08T02:35:07Z,GEORGIA,Flowery Branch Police Department,FloweryBranchPoliceDeptGA_TFM_MOA_06232026.pdf,manifest reconstructed after the fact; this scraper run predates download logging
agreements/agreements_20260708_023507/INDIANA/Markle_Police_Department/MarklePoliceDeptIN_TFM_MOA_06232026.pdf,74be6de503135914602d9f1d5731631709b830a6007c39eafd408b45a5cbe123,,2026-07-08T02:35:07Z,INDIANA,Markle Police Department,MarklePoliceDeptIN_TFM_MOA_06232026.pdf,manifest reconstructed after the fact; this scraper run predates download logging
agreements/agreements_20260708_023507/KANSAS/Logan_County_Sheriff's_Department/LoganCoSheriffsDeptKS_TFM_MOA_06152026.pdf,26b6496c76dfcc68be3cf6acf468f3de86885fb8f9897ae4de4f1bcc1eb70fc8,,2026-07-08T02:35:07Z,KANSAS,Logan County Sheriff's Department,LoganCoSheriffsDeptKS_TFM_MOA_06152026.pdf,manifest reconstructed after the fact; this scraper run predates download logging
agreements/agreements_20260708_023507/KANSAS/Pratt_County_Sheriff's_Department/PrattCoSheriffsDeptKS_JEM_MOA_06222026.pdf,4acf4c3ac021e19f9f68427801a04433a34fe4514e094950cd5d1810447a7aed,,2026-07-08T02:35:07Z,KANSAS,Pratt County Sheriff's Department,PrattCoSheriffsDeptKS_JEM_MOA_06222026.pdf,manifest reconstructed after the fact; this scraper run predates download logging
agreements/agreements_20260708_023507/KANSAS/Pratt_County_Sheriff's_Department/PrattCoSheriffsDeptKS_TFM_MOA_06222026.pdf,14030057e76236b68d58ce3d72182baf468d208352a07217903f089245e65059,,2026-07-08T02:35:07Z,KANSAS,Pratt County Sheriff's Department,PrattCoSheriffsDeptKS_TFM_MOA_06222026.pdf,manifest reconstructed after the fact; this scraper run predates download logging
