"source","as_of","state","agency","model","date_signed","needs_review"
"CRS RL32270 App. A (11 Mar 2009)",2009-02-01,"Alabama","AL State Police","Task Force",2003-09-10,FALSE
"CRS RL32270 App. A (11 Mar 2009)",2009-02-01,"Alabama","Etowah County Sheriff's Office","Jail Enforcement",2008-07-08,FALSE
"CRS RL32270 App. A (11 Mar 2009)",2009-02-01,"Arizona","AZ Department of Corrections","Jail Enforcement",2005-09-16,FALSE
"CRS RL32270 App. A (11 Mar 2009)",2009-02-01,"Arizona","AZ Department of Public Safety","Task Force",2007-04-15,FALSE
"CRS RL32270 App. A (11 Mar 2009)",2009-02-01,"Arizona","City of Phoenix Police Department","Task Force",2008-03-10,FALSE
"CRS RL32270 App. A (11 Mar 2009)",2009-02-01,"Arizona","Maricopa County Sheriff's Office","Hybrid",2007-02-07,FALSE
"CRS RL32270 App. A (11 Mar 2009)",2009-02-01,"Arizona","Pima County Sheriff's Office","Hybrid",2008-03-10,FALSE
"CRS RL32270 App. A (11 Mar 2009)",2009-02-01,"Arizona","Pinal County Sheriff's Office","Hybrid",2008-03-10,FALSE
"CRS RL32270 App. A (11 Mar 2009)",2009-02-01,"Arizona","Yavapai County Sheriff's Office","Hybrid",2008-03-10,FALSE
"CRS RL32270 App. A (11 Mar 2009)",2009-02-01,"Arkansas","Benton County Sheriff's Office","Hybrid",2007-09-26,FALSE
"CRS RL32270 App. A (11 Mar 2009)",2009-02-01,"Arkansas","City of Springdale Police Department","Task Force",2007-09-26,FALSE
"CRS RL32270 App. A (11 Mar 2009)",2009-02-01,"Arkansas","Rogers Police Department","Task Force",2007-09-25,FALSE
"CRS RL32270 App. A (11 Mar 2009)",2009-02-01,"Arkansas","Washington County Sheriff's Office AR","Hybrid",2007-09-26,FALSE
"CRS RL32270 App. A (11 Mar 2009)",2009-02-01,"California","Los Angeles County Sheriff's Office","Jail Enforcement",2005-02-01,FALSE
"CRS RL32270 App. A (11 Mar 2009)",2009-02-01,"California","Orange County Sheriff's Office","Jail Enforcement",2006-11-02,FALSE
"CRS RL32270 App. A (11 Mar 2009)",2009-02-01,"California","Riverside County Sheriff's Office","Jail Enforcement",2006-04-28,FALSE
"CRS RL32270 App. A (11 Mar 2009)",2009-02-01,"California","San Bernardino County Sheriff's Office","Jail Enforcement",2005-10-19,FALSE
"CRS RL32270 App. A (11 Mar 2009)",2009-02-01,"Colorado","CO Department of Public Safety","Task Force",2007-03-29,FALSE
"CRS RL32270 App. A (11 Mar 2009)",2009-02-01,"Colorado","El Paso County Sheriff's Office","Jail Enforcement",2007-05-17,FALSE
"CRS RL32270 App. A (11 Mar 2009)",2009-02-01,"Florida","Bay County Sheriff's Office","Task Force",2008-06-15,FALSE
"CRS RL32270 App. A (11 Mar 2009)",2009-02-01,"Florida","Brevard County Sheriff's Office","Jail Enforcement",2008-08-13,FALSE
"CRS RL32270 App. A (11 Mar 2009)",2009-02-01,"Florida","Collier County Sheriff's Office","Hybrid",2007-08-06,FALSE
"CRS RL32270 App. A (11 Mar 2009)",2009-02-01,"Florida","FL Department of Law Enforcement","Task Force",2002-07-02,FALSE
"CRS RL32270 App. A (11 Mar 2009)",2009-02-01,"Florida","Jacksonville Sheriff's Office","Jail Enforcement",2008-07-08,FALSE
"CRS RL32270 App. A (11 Mar 2009)",2009-02-01,"Florida","Manatee County Sheriff's Office","Jail Enforcement",2008-07-08,FALSE
"CRS RL32270 App. A (11 Mar 2009)",2009-02-01,"Georgia","Cobb County Sheriff's Office","Jail Enforcement",2007-02-13,FALSE
"CRS RL32270 App. A (11 Mar 2009)",2009-02-01,"Georgia","GA Department of Public Safety","Task Force",2007-07-27,FALSE
"CRS RL32270 App. A (11 Mar 2009)",2009-02-01,"Georgia","Hall County Sheriff's Office","Hybrid",2008-02-29,FALSE
"CRS RL32270 App. A (11 Mar 2009)",2009-02-01,"Georgia","Whitfield County Sheriff's Office","Jail Enforcement",2008-02-04,FALSE
"CRS RL32270 App. A (11 Mar 2009)",2009-02-01,"Maryland","Frederick County Sheriff's Office","Hybrid",2008-02-06,FALSE
"CRS RL32270 App. A (11 Mar 2009)",2009-02-01,"Massachusetts","Barnstable County Sheriff's Office","Jail Enforcement",2007-08-25,FALSE
"CRS RL32270 App. A (11 Mar 2009)",2009-02-01,"Massachusetts","Framingham Police Department","Task Force",2007-08-14,FALSE
"CRS RL32270 App. A (11 Mar 2009)",2009-02-01,"Massachusetts","MA Department of Corrections","Jail Enforcement",2007-03-26,FALSE
"CRS RL32270 App. A (11 Mar 2009)",2009-02-01,"Minnesota","MN Department of Public Safety","Task Force",2008-09-22,FALSE
"CRS RL32270 App. A (11 Mar 2009)",2009-02-01,"Missouri","MO State Highway Patrol","Task Force",2008-06-25,FALSE
"CRS RL32270 App. A (11 Mar 2009)",2009-02-01,"Nevada","Las Vegas Metropolitan Police Dept","Jail Enforcement",2008-09-08,FALSE
"CRS RL32270 App. A (11 Mar 2009)",2009-02-01,"New Hampshire","Hudson City Police Department","Task Force",2007-05-05,FALSE
"CRS RL32270 App. A (11 Mar 2009)",2009-02-01,"New Jersey","Hudson County Department of Corrections","Jail Enforcement",2008-08-11,FALSE
"CRS RL32270 App. A (11 Mar 2009)",2009-02-01,"New Mexico","NM Department of Corrections","Jail Enforcement",2007-09-17,FALSE
"CRS RL32270 App. A (11 Mar 2009)",2009-02-01,"North Carolina","Alamance County Sheriff's Office","Jail Enforcement",2007-01-10,FALSE
"CRS RL32270 App. A (11 Mar 2009)",2009-02-01,"North Carolina","Cabarrus County Sheriff's Office","Jail Enforcement",2007-08-02,FALSE
"CRS RL32270 App. A (11 Mar 2009)",2009-02-01,"North Carolina","Cumberland County Sheriff's Office","Jail Enforcement",2008-06-25,FALSE
"CRS RL32270 App. A (11 Mar 2009)",2009-02-01,"North Carolina","Durham Police Department","Task Force",2008-02-01,FALSE
"CRS RL32270 App. A (11 Mar 2009)",2009-02-01,"North Carolina","Gaston County Sheriff's Office","Jail Enforcement",2007-02-22,FALSE
"CRS RL32270 App. A (11 Mar 2009)",2009-02-01,"North Carolina","Henderson County Sheriff's Office","Jail Enforcement",2008-06-25,FALSE
"CRS RL32270 App. A (11 Mar 2009)",2009-02-01,"North Carolina","Mecklenburg County Sheriff's Office","Jail Enforcement",2006-02-27,FALSE
"CRS RL32270 App. A (11 Mar 2009)",2009-02-01,"North Carolina","Wake County Sheriff's Office","Jail Enforcement",2008-06-25,FALSE
"CRS RL32270 App. A (11 Mar 2009)",2009-02-01,"Ohio","Butler County Sheriff's Office","Hybrid",2008-02-05,FALSE
"CRS RL32270 App. A (11 Mar 2009)",2009-02-01,"Oklahoma","Tulsa County Sheriff's Office","Hybrid",2007-08-06,FALSE
"CRS RL32270 App. A (11 Mar 2009)",2009-02-01,"South Carolina","Beaufort County Sheriff's Office","Task Force",2008-06-25,FALSE
"CRS RL32270 App. A (11 Mar 2009)",2009-02-01,"South Carolina","York County Sheriff's Office","Jail Enforcement",2007-10-16,FALSE
"CRS RL32270 App. A (11 Mar 2009)",2009-02-01,"Tennessee","Davidson County Sheriff's Office","Jail Enforcement",2007-02-21,FALSE
"CRS RL32270 App. A (11 Mar 2009)",2009-02-01,"Tennessee","TN Department of Safety","Task Force",2008-06-25,FALSE
"CRS RL32270 App. A (11 Mar 2009)",2009-02-01,"Texas","Carrollton Police Department","Jail Enforcement",2008-08-12,FALSE
"CRS RL32270 App. A (11 Mar 2009)",2009-02-01,"Texas","Farmers Branch Police Dept.","Task Force",2008-07-08,FALSE
"CRS RL32270 App. A (11 Mar 2009)",2009-02-01,"Texas","Harris County Sheriff's Office","Jail Enforcement",2008-07-20,FALSE
"CRS RL32270 App. A (11 Mar 2009)",2009-02-01,"Utah","Washington County Sheriff's Office UT","Jail Enforcement",2008-09-22,FALSE
"CRS RL32270 App. A (11 Mar 2009)",2009-02-01,"Utah","Weber County Sheriff's Office","Jail Enforcement",2008-09-22,FALSE
"CRS RL32270 App. A (11 Mar 2009)",2009-02-01,"Virginia","City of Manassas Police Department","Task Force",2008-03-05,FALSE
"CRS RL32270 App. A (11 Mar 2009)",2009-02-01,"Virginia","Herndon Police Department","Task Force",2007-03-21,FALSE
"CRS RL32270 App. A (11 Mar 2009)",2009-02-01,"Virginia","Loudoun County Sheriff's Office","Task Force",2008-06-25,FALSE
"CRS RL32270 App. A (11 Mar 2009)",2009-02-01,"Virginia","Manassas Park Police Department","Task Force",2008-03-10,FALSE
"CRS RL32270 App. A (11 Mar 2009)",2009-02-01,"Virginia","Prince William County Police Department","Task Force",2008-02-26,FALSE
"CRS RL32270 App. A (11 Mar 2009)",2009-02-01,"Virginia","Prince William County Sheriff's Office","Task Force",2008-02-26,FALSE
"CRS RL32270 App. A (11 Mar 2009)",2009-02-01,"Virginia","Prince William-Manassas Adult Detention Center","Jail Enforcement",2007-07-09,FALSE
"CRS RL32270 App. A (11 Mar 2009)",2009-02-01,"Virginia","Rockingham County Sheriff's Office","Hybrid",2007-04-25,FALSE
"CRS RL32270 App. A (11 Mar 2009)",2009-02-01,"Virginia","Shenandoah County Sheriff's Office","Hybrid",2007-05-10,FALSE
"Cato WP 52 Table A1 (2018)",,"North Carolina","Alamance County Sheriff's Office",,2007-01-10,FALSE
"Cato WP 52 Table A1 (2018)",,"North Carolina","Cabarrus County Sheriff's Office",,2007-08-02,FALSE
"Cato WP 52 Table A1 (2018)",,"North Carolina","Cumberland County Sheriff's Office",,2008-06-25,FALSE
"Cato WP 52 Table A1 (2018)",,"North Carolina","Durham County Sheriff's Office",,2008-02-01,FALSE
"Cato WP 52 Table A1 (2018)",,"North Carolina","Gaston County Sheriff's Office",,2007-02-22,FALSE
"Cato WP 52 Table A1 (2018)",,"North Carolina","Guilford County Sheriff's Office",,2009-10-15,FALSE
"Cato WP 52 Table A1 (2018)",,"North Carolina","Henderson County Sheriff's Office",,2008-06-25,FALSE
"Cato WP 52 Table A1 (2018)",,"North Carolina","Mecklenburg County Sheriff's Office",,2006-02-27,FALSE
"Cato WP 52 Table A1 (2018)",,"North Carolina","Wake County Sheriff's Office",,2008-06-25,FALSE
"GAO-09-109 App. III (1 Sep 2007)",2007-09-01,,"Alabama Department of Public Safety",,,FALSE
"GAO-09-109 App. III (1 Sep 2007)",2007-09-01,,"Alamance County Sheriff's Office (North Carolina)",,,FALSE
"GAO-09-109 App. III (1 Sep 2007)",2007-09-01,,"Arizona Department of Corrections",,,FALSE
